invest,value,capital,firm,year
73.86,186.8,486.2,Union Oil,1953
89.51,192.7,511.3,Union Oil,1954
12.93,191.5,1.8,Westinghouse,1935
25.9,516,0.8,Westinghouse,1936
35.05,729,7.4,Westinghouse,1937
22.89,560.4,18.1,Westinghouse,1938
18.84,519.9,23.5,Westinghouse,1939
28.57,628.5,26.5,Westinghouse,1940
48.51,537.1,36.2,Westinghouse,1941
43.34,561.2,60.8,Westinghouse,1942
37.02,617.2,84.4,Westinghouse,1943
37.81,626.7,91.2,Westinghouse,1944
39.27,737.2,92.4,Westinghouse,1945
53.46,760.5,86,Westinghouse,1946
55.56,581.4,111.1,Westinghouse,1947
49.56,662.3,130.6,Westinghouse,1948
32.04,583.8,141.8,Westinghouse,1949
32.24,635.2,136.7,Westinghouse,1950
54.38,723.8,129.7,Westinghouse,1951
71.78,864.1,145.5,Westinghouse,1952
90.08,1193.5,174.8,Westinghouse,1953
68.6,1188.9,213.5,Westinghouse,1954
26.63,290.6,162,Goodyear,1935
23.39,291.1,174,Goodyear,1936
30.65,335,183,Goodyear,1937
20.89,246,198,Goodyear,1938
28.78,356.2,208,Goodyear,1939
26.93,289.8,223,Goodyear,1940
32.08,268.2,234,Goodyear,1941
32.21,213.3,248,Goodyear,1942
35.69,348.2,274,Goodyear,1943
62.47,374.2,282,Goodyear,1944
52.32,387.2,316,Goodyear,1945
56.95,347.4,302,Goodyear,1946
54.32,291.9,333,Goodyear,1947
40.53,297.2,359,Goodyear,1948
32.54,276.9,370,Goodyear,1949
43.48,274.6,376,Goodyear,1950
56.49,339.9,391,Goodyear,1951
65.98,474.8,414,Goodyear,1952
66.11,496,443,Goodyear,1953
49.34,474.5,468,Goodyear,1954
2.54,70.91,4.5,Diamond Match,1935
2,87.94,4.71,Diamond Match,1936
2.19,82.2,4.57,Diamond Match,1937
1.99,58.72,4.56,Diamond Match,1938
2.03,80.54,4.38,Diamond Match,1939
1.81,86.47,4.21,Diamond Match,1940
2.14,77.68,4.12,Diamond Match,1941
1.86,62.16,3.83,Diamond Match,1942
0.93,62.24,3.58,Diamond Match,1943
1.18,61.82,3.41,Diamond Match,1944
1.36,65.85,3.31,Diamond Match,1945
2.24,69.54,3.23,Diamond Match,1946
3.81,64.97,3.9,Diamond Match,1947
5.66,68,5.38,Diamond Match,1948
4.21,71.24,7.39,Diamond Match,1949
3.42,69.05,8.74,Diamond Match,1950
4.67,83.04,9.07,Diamond Match,1951
6,74.42,9.93,Diamond Match,1952
6.53,63.51,11.68,Diamond Match,1953
5.12,58.12,14.33,Diamond Match,1954
2.938,30.284,52.011,American Steel,1935
5.643,43.909,52.903,American Steel,1936
10.233,107.02,54.499,American Steel,1937
4.046,68.306,59.722,American Steel,1938
3.326,84.164,61.659,American Steel,1939
4.68,69.157,62.243,American Steel,1940
5.732,60.148,63.361,American Steel,1941
12.117,49.332,64.861,American Steel,1942
15.276,75.18,67.953,American Steel,1943
9.275,62.05,69.59,American Steel,1944
9.577,59.152,69.144,American Steel,1945
3.956,68.424,70.269,American Steel,1946
3.834,48.505,71.051,American Steel,1947
5.97,40.507,71.508,American Steel,1948
6.433,39.961,73.827,American Steel,1949
4.77,36.494,75.847,American Steel,1950
6.532,46.082,77.367,American Steel,1951
7.329,57.616,78.631,American Steel,1952
9.02,57.441,80.215,American Steel,1953
6.281,47.165,83.788,American Steel,1954
