Stage Name,Full Name,Korean Name,K. Stage Name,Date of Birth,Group,Country,Birthplace,Other Group,Gender
Ayno,Noh Yoonho,노윤호,에이노,1996-05-01,VAV,South Korea,,,M
B-Bomb,Lee Minhyuk,이민혁,비범,1990-12-14,Block B,South Korea,Seoul,Bastarz,M
B-Joo,Kim Byungjoo,김병주,비주,1994-01-08,Topp Dogg,South Korea,Seoul,,M
B.I,Kim Hanbin,김한빈,비아이,1996-10-22,,South Korea,Goyang,,M
B.S,Lee Youngsoo,이영수,비에스,1995-04-14,14U,South Korea,,,M
Babysoul,Lee Soojung,이수정,베이비소울,1992-07-06,Lovelyz,South Korea,Gwangju,,F
Bada,Kim Bada,김바다,바다,2002-05-28,Hinapia,South Korea,,,F
Baekah,Kim Sua,김수아,백아,1999-10-24,NeonPunch,South Korea,,,F
Baekho,Kang Dongho,강동호,백호,1995-07-21,NU'EST,South Korea,Jeju,NU'EST W,M
Baekhyun,Byun Baekhyun,변백현,백현,1992-05-06,EXO,South Korea,Wonmi,"EXO-CBX, SuperM",M
BamBam,Kunpimook Bhuwakul,꾼삐묵 부와꾼,뱀뱀,1997-05-02,GOT7,Thailand,Bangkok,,M
Bang Chan,Bang Chan,방찬,방찬,1997-10-03,Stray Kids,Australia,Sydney,3RACHA,M
Baro,Cha Sunwoo,차선우,바로,1992-09-05,B1A4,South Korea,Gwangju,,M
Baron,Choi Chunghyeop,최충협,바론,1992-04-19,VAV,South Korea,,,M
BC,Jin Sungho,진성호,비시,1994-07-18,1TEAM,South Korea,,,M
Bekah,Rebecca Kim,김레베카,베카,1989-08-11,,South Korea,Honolulu,,F
BEL,Choi Sunghoon,최성훈,벨,2000-05-21,DUSTIN,South Korea,,,M
Bella,Choi Yuna,최윤아,벨라,1999-02-02,ELRIS,South Korea,,,F
Belle,Jin Hyeonjoo,진현주,벨,2001-11-03,Cignature,South Korea,Goyang,,F
Benji,Baek Jaewook,배제욱,벤지,1992-05-03,B.I.G,USA,Indianapolis,,M
Beomgyu,Choi Beomgyu,최범규,범규,2001-03-13,TXT,South Korea,,,M
Bian,Yu Jiwon,유지원,비안,2001-02-13,ANS,South Korea,,,F
Bic,Nam Seungmin,남승민,빅,2001-04-25,MCND,South Korea,,,M
Bin,Kwon Soobin,김수빈,빈,1993-10-28,Hot Blood Youth,South Korea,,,M
Binnie,Bae Yubin,배유빈,비니,1997-09-09,Oh My Girl,South Korea,Chuncheon,,F
Bitsaeon,Kim Sangyeon,김상연,빛새온,1995-06-04,MONT,South Korea,,,M
Bitto,Lee Changhyun,이창현,비토,1996-08-24,UP10TION,South Korea,Dongducheon,,M
Blue,Jung Gahee,정가희,파랑,1994-01-18,Pungdeng-E,South Korea,Gwangju,,F
BM,Matthew Kim,매튜김,비엠,1992-10-20,KARD,South Korea,,,M
BoA,Kwon Boa,권보아,보아,1989-11-05,,South Korea,Guri,,F
Boa,Kim Boah,김보아,보아,1987-01-14,SPICA,South Korea,,,F
Bobby,Kim Jiwon,김지원,바비,1995-12-21,iKON,South Korea,Seoul,,M
Bohyung,Kim Bohyung,김보형,보형,1991-03-31,SPICA,South Korea,,SPICA-S,F
Bokeun,Kim Bokeun,김복은,복은,1994-10-12,SIGNAL,South Korea,,,M
Bom,Park Bom,박봄,봄,1984-03-24,2NE1,South Korea,,,F
Bomi,Yoon Bomi,윤보미,보미,1993-09-13,Apink,South Korea,Suwon,,F
Bomin,Choi Bomin,최보민,보민,2000-08-24,Golden Child,South Korea,,,M
Bomin,Kim Bomin,김보민,보민,2001-09-24,RedSquare,South Korea,Gwangju,,F
Bona,Kim Jiyeon,김지연,보나,1995-08-19,Cosmic Girls,South Korea,Daegu,,F
Boni,Choi Euijeong,최의정,보니,1999-10-30,Dreamnote,South Korea,,,F
Bora,Yoon Bora,윤보라,보라,1990-01-30,SISTAR,South Korea,,,F
Bora,Kim Bora,김보라,보라,1999-03-03,Cherry Bullet,South Korea,,,F
Boram,Jeon Boram,전보람,보람,1986-03-22,T-ara,South Korea,Seoul,,F
Bullet,Jin Junwoo,진준우,블릿,1995-12-02,VARSITY,South Korea,Seoul,,M
BX,Lee Byounggon,이병곤,비엑스,1998-03-05,CIX,South Korea,Incheon,,M
Byungchan,Choi Byungchan,최병찬,병찬,1997-11-12,VICTON,South Korea,,,M
C.A.P,Bang Minsoo,방민수,캡,1992-11-04,Teen Top,South Korea,Seongnam,,M
Cao Lu,Cao Lu,차오루,차오루,1987-08-30,Fiestar,China,Zhangjiajie,,F
Casper,Chu Xiaoxiang,저효상,캐스퍼,1991-03-20,CROSS GENE,China,Shanghai,,M
Castle J,Son Sangjoon,손성준,캐슬제이,1999-05-31,MCND,South Korea,,,M
Cha Hoon,Cha Hoon,차훈,차훈,1994-07-12,N.Flying,South Korea,Seoul,,M
Chaea,Kim Chaeyoung,김채영,체리,1997-07-05,RedSquare,South Korea,Gunsan,,F
Chaebin,Choi Yoobin,최유빈,채빈,1999-07-28,NATURE,South Korea,,,F
Chaehyun,Kim Chaehyun,김채현,채현,1999-11-29,Bonus Baby,South Korea,,,F
Chaejin,Chae Jinseok,채진석,채진,1995-12-26,MYNAME,South Korea,Seoul,,M
Chaekyung,Yoon Chaekyung,윤채경,채경,1996-07-07,APRIL,South Korea,Incheon,"C.I.V.A, I.B.I",F
Chaelin,Lee Chaelin,이채린,채린,1999-10-20,FANATICS,South Korea,,,F
Chaerin,Park Chaerin,박채린,채린,2002-03-13,Cherry Bullet,South Korea,,,F
Chaeryeong,Lee Chaeryeong,이채령,채령,2001-07-05,ITZY,South Korea,,,F
Chaesol,Maeng Chaesol,맹채솔,채솔,1998-07-14,Cignature,South Korea,Yeosu,,F
Chaewon,Kim Chaewon,김채원,채원,1997-11-08,APRIL,South Korea,Gongju,,F
Chaewon,Kim Chaewon,김채원,채원,2000-08-01,IZ*ONE,South Korea,Seoul,,F
ChaeY,Song Chaeyeon,송채연,채이,2003-01-06,CRAXY,South Korea,,,F
Chaeyeon,Jung Chaeyeon,정채연,채연,1997-12-01,DIA,South Korea,Suncheon,I.O.I,F
Chaeyeon,Kim Chaeyeon,김채연,채연,2004-12-04,Busters,South Korea,,,F
Chaeyeon,Lee Chaeyeon,이채연,채연,2000-01-11,IZ*ONE,South Korea,Yongin,,F
Chaeyoung,Son Chaeyoung,손채영,채영,1999-04-23,Twice,South Korea,Seoul,,F
Chaeyoung,Lee Chaeyoung,이채영,채영,2000-05-14,fromis_9,South Korea,Pohang,,F
Chahee,Park Sooyoung,박수영,차희,1996-03-24,MELODYDAY,South Korea,,,F
Chan,Jung Chanwoo,정찬우,찬,1998-01-26,iKON,South Korea,Yongin,,M
Chan,Kang Yoochan,강유찬,찬,1997-12-31,A.C.E,South Korea,Jeju,UNB,M
Chan,Jo Chanhyuk,조찬혁,찬,1999-12-08,TOO,South Korea,,,M
Changbin,Seo Changbin,서창빈,창빈,1999-08-11,Stray Kids,South Korea,Yongin,3RACHA,M
Changbum,Woo Changbum,우창범,창범,1993-10-07,,South Korea,Sokcho,,M
Changgyu,Song Changgyu,송창규,창규,1993-07-06,UNVS,South Korea,,,M
Changjo,Choi Jonghyun,최종현,창조,1995-11-16,Teen Top,South Korea,Chuncheon,,M
Changsub,Lee Changsub,이창섭,창섭,1991-02-26,BtoB,South Korea,Suwon,,M
Changsun,Lee Changsun,이창선,창선,1996-03-17,24K,South Korea,,,M
Chani,Kang Chanhee,강찬희,찬희,2000-01-17,SF9,South Korea,,,M
Chanmi,Kim Chanmi,김찬미,찬미,1996-06-19,AoA,South Korea,Gumi,,F
Chansung,Hwang Chansung,황찬성,찬성,1990-02-11,2PM,South Korea,Seoul,,M
Chanyeol,Park Chanyeol,박찬열,찬열,1992-11-27,EXO,South Korea,Seoul,,M
Chanyong,Kim Chanyong,김찬용,찬용,1993-04-29,100%,South Korea,Suwon,,M
Chanyoung,Kim Chanyoung,김찬영,찬영,2000-11-20,D-CRUNCH,South Korea,,,M
Chen,Kim Jongdae,김종대,첸,1992-09-21,EXO,South Korea,Silheung,EXO-CBX,M
Cheng Xiao,Cheng Xiao,청샤오,성소,1998-07-15,Cosmic Girls,China,Shenzhen,,F
Chenle,Zhong Chenle,중천러,천러,2001-11-22,NCT,China,Shanghai,NCT Dream,M
Cheongeum,Jang Cheongeum,장청음,청음,1996-06-19,Ho1iday,South Korea,,,F
Chiayi,Li Chiayi,지아이,지아이,2000-01-22,FANATICS,Taiwan,,FANATICS FLAVOR,F
Chihoon,Choi Chihoon,최치훈,치훈,1999-04-27,TOO,South Korea,,,M
Choa,Park Choa,박초아,초아,1990-03-06,,South Korea,Incheon,,F
Choa,Heo Minjin,허민진,초아,1990-07-12,Crayon Pop,South Korea,Seoul,,F
Choerry,Choi Yerim,최예림,최리,2001-06-04,LOONA,South Korea,,Loona Odd Eye Circle,F
Choi Jiann,Choi Jaewoo,최재우,최지안,1997-09-30,Newkidd,South Korea,,,M
Chorong,Park Chorong,박초롱,초롱,1991-03-03,Apink,South Korea,Chungwongoon,,F
Chungha,Kim Chungha,김청하,청하,1996-02-09,,South Korea,Dallas,,F
Chunji,Lee Chanhee,이찬희,천지,1993-10-05,Teen Top,South Korea,Seongnam,,M
Chuu,Kim Jiwoo,김지우,츄,1999-10-20,LOONA,South Korea,Cheongju,Loona yyxy,F
CL,Lee Chaerin,이채린,씨엘,1991-02-26,2NE1,South Korea,,,F
CNU,Shin Dongwoo,신동우,신우,1991-07-16,B1A4,South Korea,Seoul,,M
Cory,Hong Joohyung,홍주현,코리,1990-11-25,24K,South Korea,Daegu,,M
Cya,Lee Giwook,이기욱,키야,2000-01-24,Onewe,South Korea,,,M
D.ana,Cho Eunae,조은애,디애나,1995-09-10,Sonamoo,South Korea,Seoul,,F
D.O.,Do Kyungsoo,도경수,디오,1993-01-12,EXO,South Korea,Gyeonggi,,M
Daehwi,Lee Daehwi,이대휘,대휘,2001-01-29,AB6IX,South Korea,Seoul,,M
Daehyeon,Jang Daehyeon,장대현,대현,1997-02-11,,South Korea,,,M
Daehyun,Jung Daehyun,정대현,대현,1993-06-28,B.A.P,South Korea,Busan,,M
Daeil,Kim Daeil,김대일,대일,1992-05-10,,South Korea,Busan,,M
Daesung,Daesung,강대성,대성,1989-04-26,BIGBANG,South Korea,Incheon,,M
Daeun,Jung Daeun,정다은,정다은,1994-06-03,2EYES,South Korea,Bucheon,,F
Daewang Nim,Daewang Nim,대왕님,대왕님,1996-04-08,Pink Fantasy,South Korea,,,F
Daeyeol,Lee Daeyeol,이대열,대열,1993-02-11,Golden Child,South Korea,Yongin,,M
Daeyeon,Hwang Da Kyeon,황연경,다연,1995-11-17,NeonPunch,South Korea,,,F
Dahye,Song Dahye,송다혜,다혜,1993-06-12,,South Korea,,,F
Dahyun,Kim Dahyun,김다현,다현,1998-05-28,Twice,South Korea,Seongnam,,F
Dahyun,Jeong Dahyun,정다현,다현,2005-04-29,Rocket Punch,South Korea,,,F
Dain,Song Jieun,송지은,다인,1990-06-25,,South Korea,,,F
Daisy,Yoo Jeongahn,유정안,데이지,1999-01-22,MOMOLAND,South Korea,Seoul,,F
Dajeong,Kim Dajeong,김다정,다정,1995-08-08,Hashtag,South Korea,Gwangju,,F
Dalyn,Lee Sohyun,이소현,달린,1999-08-27,ANS,South Korea,,,F
Dami,Lee Yoobin,이유빈,다미,1997-03-07,Dreamcatcher,South Korea,Seoul,,F
Dami,Hong Dayoung,홍다영,담이,2001-06-07,ANS,South Korea,,,F
Damon,Hu Boohan,후보한,데이먼,1996-07-02,VARSITY,China,,,M
Dan-a,Park Seungyeon,박승연,단아,1993-06-26,Matilda,South Korea,,,F
Daniel,Kang Daniel,강다니엘,다니엘,1996-12-10,Wanna One,South Korea,Busan,,M
Dany,Jeon Eunji,전은지,다니,1998-01-20,Ho1iday,South Korea,,,F
Daon,Ahn Seonil,안선일,다온,2000-12-10,DUSTIN,South Korea,,,M
Dara,Park Sandara,박산다라,다라,1984-11-12,2NE1,South Korea,,,F
Dasom,Kim Dasom,김다솜,다솜,1993-05-06,SISTAR,South Korea,,,F
Dasom,Lee Dasom,이다솜,다솜,1993-11-13,2EYES,South Korea,Cheongju,,F
Dawon,Nam Dawon,남다원,다원,1997-03-16,Cosmic Girls,South Korea,Seoul,,F
Dawon,Lee Sanghyuk,이상혁,다원,1995-07-24,SF9,South Korea,,,M
Dawon,Cho Dawon,조다원,다원,2000-05-12,VARSITY,South Korea,,,M
Dawon,Lee Dawon,이다원,다원,1996-12-02,ARIAZ,South Korea,,,F
Daye,Kim Hyunjung,김현정,다예,1998-02-25,Berry Good,South Korea,,,F
Dayoung,Kim Dayoung,김다영,다영,1991-02-02,Blady,South Korea,Jeonju,,F
Dayoung,Im Dayoung,임다영,다영,1999-05-14,Cosmic Girls,South Korea,Jeju,,F
Dayun,Kim Dayun,김다윤,다윤,2000-11-20,Bonus Baby,South Korea,,,F
Della,Park Sehyun,박세현,델라,1995-09-03,Rockit Girl,South Korea,,,F
Denise,Kim Denise,김데니스,데니스,2001-01-11,SECRET NUMBER,South Korea,,,F
Dino,Lee Chan,이찬,디노,1999-02-11,Seventeen,South Korea,Iksan,,M
Dita,Dita Karang,디타 가랑,디타,1996-12-25,SECRET NUMBER,Indonesia,Yogyakarta,,F
DK,Lee Seongmin,이석민,도겸,1997-02-18,Seventeen,South Korea,Yongin,,M
DK,Kim Donghyuk,김동혁,디케이,1997-01-03,iKON,South Korea,,,M
Doah,Kim Doah,김도아,도아,2003-12-04,FANATICS,South Korea,,FANATICS FLAVOR,F
Dohee,Yoon Dohee,윤도희,도희,1999-09-24,NeonPunch,South Korea,,,F
Dohyon,Nam Dohyon,남도현,도현,2004-11-10,X1,South Korea,,,M
Dohyuk,Kim Dohyuk,김도혁,도혁,1998-01-16,14U,South Korea,,,M
Doi,Kim Doi,김도이,도이,1996-04-12,FANATICS,South Korea,,,F
Dojin,Jeon Yongtae,전용태,도진,1997-03-07,ENOi,South Korea,,,M
Dokyun,Na Dokyun,나도균,도균,1991-02-11,HISTORY,South Korea,Daejeon,,M
Donggeon,Song Donggeon,송동건,동건,1999-07-15,TOO,South Korea,,,M
Donghae,Lee Donghae,이동해,동해,1986-10-15,Super Junior,South Korea,Mokpo,Super Junior-M,M
Donghan,Kim Donghan,김동한,동한,1998-07-03,JBJ,South Korea,Daegu,,M
Dongheon,Lee Dongheon,이동헌,동헌,1995-08-04,Verivery,South Korea,,,M
Donghun,Lee Donghun,이동훈,동훈,1993-05-15,A.C.E,South Korea,Suncheon,,M
Donghyun,Kim Donghyun,김동현,동현,1989-02-12,Boyfriend,South Korea,Seoul,,M
Donghyun,Kim Donghyun,김동현,동현,1999-02-23,Golden Child,South Korea,,,M
Donghyun,Kim Donghyun,김동현,동현,1998-09-17,AB6IX,South Korea,Daejeon,MXM,M
Dongjun,Kim Dongjun,김동준,동준,1992-02-11,ZE:A,South Korea,Busan,,M
Dongkyu,Moon Dongkyu,문동규,동규,1992-11-16,Spectrum,South Korea,,,M
Dongmyeong,Son Dongmyeong,곤동명,동명,2000-01-20,Onewe,South Korea,,,M
Dongpyo,Son Dongpyo,손동표,동표,2002-09-09,X1,South Korea,,,M
Dongwon,Lee Dongwon,이동원,동원,1994-01-01,KNK,South Korea,,,M
Dongwoo,Jang Dongwoo,장동우,동우,1990-11-22,Infinite,South Korea,Guri,Infinite H,M
Dongwoon,Son Dongwoon,손동운,동운,1991-06-06,Highlight,South Korea,Busan,,M
Doojoon,Yoon Doojoon,윤두준,두준,1989-07-04,Highlight,South Korea,Goyang,,M
Dowoon,Yoon Dowoon,윤도운,도운,1995-08-25,DAY6,South Korea,,,M
Doyeon,Kim Doyeon,김도연,도연,1999-12-04,Weki Meki,South Korea,Incheon,"I.O.I, WJMK",F
Doyoung,Kim Dongyoung,김동영,도영,1996-02-01,NCT,South Korea,Guri,"NCT U, NCT 127",M
Doyoung,Kim Doyoung,김도영,도영,2003-12-04,Treasure,South Korea,,,M
Doyum,Jeon Doyum,전도염,도염,2002-02-21,1the9,South Korea,Daejeon,,M
Dylan,Park Yeonjae,박연재,딜란,2002-07-26,D-CRUNCH,South Korea,,,M
E'Dawn,Kim Hyojong,김효종,이던,1994-06-01,,South Korea,,,M
E-tion,Lee Changyoon,이창윤,이션,1994-12-24,ONF,South Korea,Jeonju,,M
E-Young,Noh Yiyoung,노이영,이영,1992-08-16,After School,South Korea,Chuncheon,,F
E.sol,Jeon Jaehyuk,전재혁,이솔,1992-09-17,14U,South Korea,,,M
E:U,Park Jiwon,박지원,이유,1998-05-19,Everglow,South Korea,,,F
Eli,Ellison Kim,엘리슨 킴,일라이,1991-03-13,U-KISS,USA,Los Angeles,,M
Elkie,Chong Ting Yan,쫑딩얀,엘키,1998-11-02,CLC,Hong Kong,Hong Kong,,F
Ellin,Kim Minyoung,김민영,엘린,1990-04-02,Crayon Pop,South Korea,Daegu,,F
Elly,Jung Haerim,정해림,엘리,1998-07-20,Weki Meki,South Korea,,,F
Ellyn,Bang Sunhee,방선희,엘린,2002-10-19,Girlkind,South Korea,,,F
Eric,Son Youngjae,손영재,에릭,2000-12-22,The Boyz,South Korea,,,M
Eson,Kim Jungmin,김정민,이슨,1996-12-28,We In The Zone,South Korea,Honolulu,,M
Euaerin,Lee Hyemin,이혜민,이유애린,1988-05-03,,South Korea,Seoul,,F
Euijin,Hong Euijin,홍의진,의진,1996-10-08,Sonamoo,South Korea,Gwangju,UNI.T,F
Euijin,Lee Euijin,이의진,의진,1990-02-15,Bigflo,South Korea,Seoul,,M
Eun,Choi Eunmi,최은미,은,1990-05-14,Two X,South Korea,,,F
Eunbi,Kwon Eunbi,권은비,은비,1995-09-27,IZ*ONE,South Korea,Seoul,,F
Eunbin,Kwon Eunbin,권은빈,은빈,2000-01-06,CLC,South Korea,Seoul,,F
Eunchae,Kwon Chaewon,권채원,은채,1999-05-26,DIA,South Korea,,,F
Eunha,Jung Eunbi,정은비,은하,1997-05-30,Gfriend,South Korea,Seoul,,F
Eunho,Shin Donggeun,신동근,은호,1992-09-10,UNVS,South Korea,,,M
Eunhyuk,Lee Hyukjae,이혁재,은혁,1986-04-04,Super Junior,South Korea,Ilsan,Super Junior-M,M
Eunice,Heo Sooyeon,허수연,유니스,1991-11-02,DIA,South Korea,Busan,,F
Eunjae,Kwak Eunjae,곽은재,은재,1996-05-02,14U,South Korea,,,M
Eunji,Jung Eunji,정은지,은지,1993-08-18,Apink,South Korea,Busan,,F
Eunji,Hong Eunji,홍은지,은지,1992-07-19,Brave Girls,South Korea,Seoul,,F
Eunjin,Ahn Eunjin,안은진,은진,1997-08-31,,South Korea,Mokpo,,F
Eunjin,Ma Eunjin,마은진,은진,1997-05-23,Playback,South Korea,Wonju,,F
Eunjin,Moon Eunjin,문은진,은진,1998-11-05,Highteen,South Korea,,,F
Eunjo,Park Eunjo,박은조,은조,2002-03-07,Dreamnote,South Korea,,,F
Eunjun,Choi Eunjun,최은준,은준,1999-08-06,Spectrum,South Korea,,,M
Eunjung,Ham Eunjung,함은정,은정,1988-12-12,T-ara,South Korea,Seoul,,F
Eunki,Hong Eunki,홍은기,은기,1997-09-29,,South Korea,,,M
Eunkwang,Seo Eunkwang,서은광,은광,1990-11-22,BtoB,South Korea,Yongin,,M
Eunsang,Lee Eunsang,이은상,은상,2002-10-16,X1,South Korea,,,M
Eunseo,Son Juyeon,손주연,은서,1998-05-27,Cosmic Girls,South Korea,Incheon,,F
Eunsung,Lee Eunsung,이은성,은성,2000-09-07,TheEastLight,South Korea,,,M
Eunwoo,Jeong Eunwoo,정은우,은우,1998-07-01,Hinapia,South Korea,,Pristin V,F
Eunwoo,Cha Eunwoo,차은우,은우,1997-03-30,ASTRO,South Korea,Gunpo,,M
Eunyoung,Joo Eunyoung,주은영,은영,1992-06-12,Two X,South Korea,,,F
Exy,Chu Sojung,추소정,엑시,1995-11-06,Cosmic Girls,South Korea,Busan,,F
Fei,Wang FeiFei,왕페이페이,페이,1987-04-27,miss A,China,Haikou,,F
Felix,Lee Youngbok,이용복,필릭스,2000-09-15,Stray Kids,South Korea,Sydney,,M
G-Dragon,Kwon Jiyong,권지용,지드래곤,1988-08-18,BIGBANG,South Korea,Seoul,GD&TOP,M
G.NA,Gina Jane Choi,최지나,지나,1987-09-13,,Canada,Edmonton,,F
G.O,Jung Byunghee,정병희,지오,1987-11-06,MBLAQ,South Korea,Changwon,,M
Gabin,Kim Gabin,김가빈,가빈,1989-09-18,Blady,South Korea,Busan,,F
Gaeul,Park Gaeul,박가을,가을,1999-05-08,Favorite,South Korea,Seoul,,F
Gaeun,Cho Kaeun,조가은,가은,1992-07-28,,South Korea,Changwon,,F
Gaga,Lee Soobin,이수빈,가가,1994-11-10,Gate9,South Korea,,,F
Gaga,Li Jia Jia,리 지아 지아,가가,1999-09-01,NATURE,China,,,F
Gahyeon,Lee Gahyeon,이가현,가현,1999-02-03,Dreamcatcher,South Korea,Seongnam,,F
Gain,Son Gain,손가인,가인,1987-09-20,Brown Eyed Girls,South Korea,,,F
Gaon,Beom Gaon,범가온,가온,2001-03-09,Bonus Baby,South Korea,,,F
Gayoon,Heo Gayoon,허가윤,가윤,1990-05-18,4minute,South Korea,Seoul,2YOON,F
Gayoung,Kim Gayoung,김가영,가영,1991-12-02,Stellar,South Korea,Seoul,,F
Geummi,Baek Boram,백보람,금미,1988-06-18,Crayon Pop,South Korea,Seoul,,F
Gihwan,Kim Gihwan,김기환,기환,1993-11-24,SIGNAL,South Korea,,,M
Gijung,Kim Gijung,김기중,기중,2001-01-24,IM,South Korea,,,M
Gikwang,Lee Gikwang,이기광,기광,1990-03-30,Highlight,South Korea,Gwangju,,M
Giru,Park Giru,박기루,기루,1991-08-14,Blady,South Korea,Incheon,,F
Giseok,Jun Giseok,정기석,기석,1997-05-02,IM,South Korea,,,M
Gohn,Kim Dongsung,김동성,곤,1992-08-01,,South Korea,Seoul,,M
Gohyeon,Go Hyeon,고현,고현,1994-10-01,14U,South Korea,,,M
Gon,Kim Seongjung,김성중,곤,1998-11-13,ARGON,South Korea,,,M
Gongchan,Gong Chansik,공찬식,공찬,1993-08-14,B1A4,South Korea,Suncheon,,M
Gowon,Park Chaewon,박채원,고원,2000-11-19,LOONA,South Korea,,Loona yyxy,F
Gowoon,Moon Joojeong,문유정,고운,1998-12-18,Berry Good,South Korea,,,F
Gracie,Kim Gaeun,김가운,그레이시,1996-10-28,H.U.B,South Korea,,,F
Green,Kim Jiwon,김지원,지니,1997-07-01,RedSquare,South Korea,Daegu,,F
Gun,Kwak Gun,곽건,건,2001-09-29,14U,South Korea,,,M
Gun,Yang Hyuk,양혁,건,2000-03-15,ENOi,South Korea,,,M
Gunmin,Lee Gunmin,이건민,건민,1994-10-03,B.I.G,South Korea,Gangwon,,M
Gunwoo,Lee Gunwoo,이건우,건우,1989-01-30,MYNAME,South Korea,Daejeon,,M
Gyehyeon,Jo Gyehyeon,조계현,계현,1999-05-14,Verivery,South Korea,,,M
Gyeongtae,Kwon Gyeongtae,권경태,경태,2000-07-23,14U,South Korea,,,M
Gyujin,Han Gyujin,한규진,규진,1997-11-21,UP10TION,South Korea,Icheon,,M
Gyuri,Park Gyuri,박규리,규리,1988-05-21,KARA,South Korea,Seoul,,F
Gyuri,Jang Gyuri,장규리,규리,1997-12-27,fromis_9,South Korea,Seoul,,F
Habin,Yoo Habin,유하빈,하빈,2002-03-10,Dreamnote,South Korea,,,F
Haebin,Han Haebin,한해빈,해빈,1995-08-16,Gugudan,South Korea,,,F
Haechan,Lee Donghyuk,이동혁,해찬,2000-06-06,NCT,South Korea,,"NCT 127, NCT Dream",M
Haein,Yeom Haein,염해인,해인,1995-05-19,LABOUM,South Korea,Ojeonggu,,F
Haena,Lee Haena,이해나,해나,1991-06-02,Matilda,South Korea,,,F
Haena,Jeon Eunbi,전은비,해나,2002-02-19,ANS,South Korea,,,F
Haeri,Lee Haeri,이해리,해리,1985-02-14,Davichi,South Korea,Seoul,,F
Haeri,Jung Haeri,정해리,해리,1997-01-14,P.O.P,South Korea,Seoul,,F
Haeryeong,Na Haeryeong,나해령,해령,1994-11-11,BESTie,South Korea,,,F
Haeun,Yoon Haeun,윤하은,하은,1999-03-12,3YE,South Korea,,,F
Haeyeon,Lee Taeyeon,이태연,해연,1994-01-11,Gate9,South Korea,,,F
Haeyoon,Park Haeyoon,박해윤,해윤,1996-01-10,Cherry Bullet,South Korea,,,F
Hajeong,Lee Hajeong,이하정,하정,1997-09-23,,South Korea,,,F
Hakmin,Lee Hakmin,이학민,학민,2000-09-20,TRCNG,South Korea,,,M
Hamin,Jo Hamin,조하민,하민,1997-10-24,ENOi,South Korea,,,M
Han,Han Jisung,한지성,한,2000-09-14,Stray Kids,South Korea,Incheon,3RACHA,M
Han Geng,Han Geng,한경,한경,1984-02-09,,China,Mudanjiang,,M
Han Hyeri,Han Hyeri,한혜리,한혜리,1997-08-24,I.B.I,South Korea,Gwangmyeong,,F
Han Leeseul,Han Jiyoon,한지윤,한이슬,2000-02-12,Rockit Girl,South Korea,,,F
Hana,Shin Bora,신보라,하나,1993-04-30,Gugudan,South Korea,,,F
Hana,Jung Hana,정하나,하나,1990-02-02,SECRET,South Korea,Uljeongbu,,F
