identifier,constant,sex,age,nmarried,nchildren,religious,education,occupation,rate_marriage,naffairs
413,1.0,1,57.0,15.0,1,4,20.0,6,5,0.0
416,1.0,0,22.0,0.75,0,2,16.0,3,4,0.0
418,1.0,1,42.0,4.0,0,4,17.0,3,3,0.0
422,1.0,0,22.0,1.5,1,4,12.0,1,5,0.0
435,1.0,0,22.0,0.417,0,1,17.0,6,4,0.0
439,1.0,0,32.0,15.0,1,4,17.0,5,5,0.0
445,1.0,0,27.0,1.5,0,3,18.0,5,2,0.0
447,1.0,0,22.0,1.5,1,3,14.0,1,5,0.0
448,1.0,0,37.0,15.0,1,3,14.0,1,4,0.0
449,1.0,0,32.0,15.0,1,4,14.0,3,4,0.0
478,1.0,1,37.0,10.0,1,2,14.0,5,3,0.0
482,1.0,1,37.0,10.0,1,4,16.0,5,4,0.0
486,1.0,1,57.0,15.0,1,5,20.0,5,3,0.0
489,1.0,1,27.0,0.417,0,1,16.0,3,4,0.0
490,1.0,0,42.0,15.0,1,5,14.0,1,5,0.0
491,1.0,1,57.0,15.0,1,3,16.0,6,1,0.0
492,1.0,1,37.0,10.0,1,1,16.0,6,4,0.0
503,1.0,1,37.0,15.0,1,3,17.0,5,5,0.0
508,1.0,1,37.0,15.0,1,4,20.0,6,5,0.0
509,1.0,0,27.0,10.0,1,5,14.0,1,5,0.0
512,1.0,1,37.0,10.0,1,2,18.0,6,4,0.0
515,1.0,0,22.0,0.125,0,4,12.0,4,5,0.0
517,1.0,1,57.0,15.0,1,5,20.0,6,5,0.0
532,1.0,0,37.0,15.0,1,4,18.0,6,4,0.0
533,1.0,1,22.0,4.0,1,4,14.0,6,4,0.0
535,1.0,1,27.0,7.0,1,4,18.0,5,4,0.0
537,1.0,1,57.0,15.0,1,4,20.0,5,4,0.0
538,1.0,1,32.0,15.0,1,3,14.0,6,3,0.0
543,1.0,0,22.0,1.5,0,2,14.0,5,4,0.0
547,1.0,0,32.0,7.0,1,4,17.0,1,5,0.0
550,1.0,0,37.0,15.0,1,4,17.0,6,5,0.0
558,1.0,0,32.0,1.5,0,5,18.0,5,5,0.0
571,1.0,1,42.0,10.0,1,5,20.0,7,4,0.0
578,1.0,0,27.0,7.0,0,3,16.0,5,4,0.0
583,1.0,1,37.0,15.0,0,4,20.0,6,5,0.0
586,1.0,1,37.0,15.0,1,4,14.0,3,2,0.0
594,1.0,1,32.0,10.0,0,5,18.0,6,4,0.0
597,1.0,0,22.0,0.75,0,4,16.0,1,5,0.0
602,1.0,0,27.0,7.0,1,4,12.0,2,4,0.0
603,1.0,0,27.0,7.0,1,2,16.0,2,5,0.0
604,1.0,0,42.0,15.0,1,5,18.0,5,4,0.0
612,1.0,1,42.0,15.0,1,4,17.0,5,3,0.0
613,1.0,0,27.0,7.0,1,2,16.0,1,2,0.0
621,1.0,0,22.0,1.5,0,3,16.0,5,5,0.0
627,1.0,1,37.0,15.0,1,5,20.0,6,5,0.0
630,1.0,0,22.0,0.125,0,2,14.0,4,5,0.0
631,1.0,1,27.0,1.5,0,4,16.0,5,5,0.0
632,1.0,1,32.0,1.5,0,2,18.0,6,5,0.0
639,1.0,1,27.0,1.5,0,2,17.0,6,5,0.0
645,1.0,0,27.0,10.0,1,4,16.0,1,3,0.0
647,1.0,1,42.0,15.0,1,4,18.0,6,5,0.0
648,1.0,0,27.0,1.5,0,2,16.0,6,5,0.0
651,1.0,1,27.0,4.0,0,2,18.0,6,3,0.0
655,1.0,0,32.0,10.0,1,3,14.0,5,3,0.0
667,1.0,0,32.0,15.0,1,3,18.0,5,4,0.0
670,1.0,0,22.0,0.75,0,2,18.0,6,5,0.0
671,1.0,0,37.0,15.0,1,2,16.0,1,4,0.0
673,1.0,1,27.0,4.0,1,4,20.0,5,5,0.0
701,1.0,1,27.0,4.0,0,1,20.0,5,4,0.0
705,1.0,0,27.0,10.0,1,2,12.0,1,4,0.0
706,1.0,0,32.0,15.0,1,5,18.0,6,4,0.0
709,1.0,1,27.0,7.0,1,5,12.0,5,3,0.0
717,1.0,1,52.0,15.0,1,2,18.0,5,4,0.0
719,1.0,1,27.0,4.0,0,3,20.0,6,3,0.0
723,1.0,1,37.0,4.0,1,1,18.0,5,4,0.0
724,1.0,1,27.0,4.0,1,4,14.0,5,4,0.0
726,1.0,0,52.0,15.0,1,5,12.0,1,3,0.0
734,1.0,0,57.0,15.0,1,4,16.0,6,4,0.0
735,1.0,1,27.0,7.0,1,1,16.0,5,4,0.0
736,1.0,1,37.0,7.0,1,4,20.0,6,3,0.0
737,1.0,1,22.0,0.75,0,2,14.0,4,3,0.0
739,1.0,1,32.0,4.0,1,2,18.0,5,3,0.0
743,1.0,1,37.0,15.0,1,4,20.0,6,3,0.0
745,1.0,1,22.0,0.75,1,2,14.0,4,3,0.0
747,1.0,1,42.0,15.0,1,4,20.0,6,3,0.0
751,1.0,0,52.0,15.0,1,5,17.0,1,1,0.0
752,1.0,0,37.0,15.0,1,4,14.0,1,2,0.0
754,1.0,1,27.0,7.0,1,4,14.0,5,3,0.0
760,1.0,1,32.0,4.0,1,2,16.0,5,5,0.0
763,1.0,0,27.0,4.0,1,2,18.0,6,5,0.0
774,1.0,0,27.0,4.0,1,2,18.0,5,5,0.0
776,1.0,1,37.0,15.0,1,5,18.0,6,5,0.0
779,1.0,0,47.0,15.0,1,5,12.0,5,4,0.0
784,1.0,0,32.0,10.0,1,3,17.0,1,4,0.0
788,1.0,0,27.0,1.5,1,4,17.0,1,2,0.0
794,1.0,0,57.0,15.0,1,2,18.0,5,2,0.0
795,1.0,0,22.0,1.5,0,4,14.0,5,4,0.0
798,1.0,1,42.0,15.0,1,3,14.0,3,4,0.0
800,1.0,1,57.0,15.0,1,4,9.0,2,2,0.0
803,1.0,1,57.0,15.0,1,4,20.0,6,5,0.0
807,1.0,0,22.0,0.125,0,4,14.0,4,5,0.0
812,1.0,0,32.0,10.0,1,4,14.0,1,5,0.0
820,1.0,0,42.0,15.0,1,3,18.0,5,4,0.0
823,1.0,0,27.0,1.5,0,2,18.0,6,5,0.0
830,1.0,1,32.0,0.125,1,2,18.0,5,2,0.0
843,1.0,0,27.0,4.0,0,3,16.0,5,4,0.0
848,1.0,0,27.0,10.0,1,2,16.0,1,4,0.0
851,1.0,0,32.0,7.0,1,4,16.0,1,3,0.0
854,1.0,0,37.0,15.0,1,4,14.0,5,4,0.0
856,1.0,0,42.0,15.0,1,5,17.0,6,2,0.0
857,1.0,1,32.0,1.5,1,4,14.0,6,5,0.0
859,1.0,0,32.0,4.0,1,3,17.0,5,3,0.0
863,1.0,0,37.0,7.0,0,4,18.0,5,5,0.0
865,1.0,0,22.0,0.417,1,3,14.0,3,5,0.0
867,1.0,0,27.0,7.0,1,4,14.0,1,5,0.0
870,1.0,1,27.0,0.75,0,3,16.0,5,5,0.0
873,1.0,1,27.0,4.0,1,2,20.0,5,5,0.0
875,1.0,1,32.0,10.0,1,4,16.0,4,5,0.0
876,1.0,1,32.0,15.0,1,1,14.0,5,5,0.0
877,1.0,1,22.0,0.75,0,3,17.0,4,5,0.0
880,1.0,0,27.0,7.0,1,4,17.0,1,4,0.0
903,1.0,1,27.0,0.417,1,4,20.0,5,4,0.0
904,1.0,1,37.0,15.0,1,4,20.0,5,4,0.0
905,1.0,0,37.0,15.0,1,2,14.0,1,3,0.0
908,1.0,1,22.0,4.0,1,1,18.0,5,4,0.0
909,1.0,1,37.0,15.0,1,4,17.0,5,3,0.0
910,1.0,0,22.0,1.5,0,2,14.0,4,5,0.0
912,1.0,1,52.0,15.0,1,4,14.0,6,2,0.0
914,1.0,0,22.0,1.5,0,4,17.0,5,5,0.0
915,1.0,1,32.0,4.0,1,5,14.0,3,5,0.0
916,1.0,1,32.0,4.0,1,2,14.0,3,5,0.0
920,1.0,0,22.0,1.5,0,3,16.0,6,5,0.0
921,1.0,1,27.0,0.75,0,2,18.0,3,3,0.0
925,1.0,0,22.0,7.0,1,2,14.0,5,2,0.0
926,1.0,0,27.0,0.75,0,2,17.0,5,3,0.0
929,1.0,0,37.0,15.0,1,4,12.0,1,2,0.0
931,1.0,0,22.0,1.5,0,1,14.0,1,5,0.0
945,1.0,0,37.0,10.0,0,2,12.0,4,4,0.0
947,1.0,0,37.0,15.0,1,4,18.0,5,3,0.0
949,1.0,0,42.0,15.0,1,3,12.0,3,3,0.0
950,1.0,1,22.0,4.0,0,2,18.0,5,5,0.0
961,1.0,1,52.0,7.0,1,2,20.0,6,2,0.0
965,1.0,1,27.0,0.75,0,2,17.0,5,5,0.0
966,1.0,0,27.0,4.0,0,2,17.0,4,5,0.0
967,1.0,1,42.0,1.5,0,5,20.0,6,5,0.0
987,1.0,1,22.0,1.5,0,4,17.0,6,5,0.0
990,1.0,1,22.0,4.0,0,4,17.0,5,3,0.0
992,1.0,0,22.0,4.0,1,1,14.0,5,4,0.0
995,1.0,1,37.0,15.0,1,5,20.0,4,5,0.0
1009,1.0,0,37.0,10.0,1,3,16.0,6,3,0.0
1021,1.0,1,42.0,15.0,1,4,17.0,6,5,0.0
1026,1.0,0,47.0,15.0,1,4,17.0,5,5,0.0
1027,1.0,1,22.0,1.5,0,4,16.0,5,4,0.0
1030,1.0,0,32.0,10.0,1,3,12.0,1,4,0.0
1031,1.0,0,22.0,7.0,1,1,14.0,3,5,0.0
1034,1.0,0,32.0,10.0,1,4,17.0,5,4,0.0
1037,1.0,1,27.0,1.5,1,2,16.0,2,4,0.0
1038,1.0,1,37.0,15.0,1,4,14.0,5,5,0.0
1039,1.0,1,42.0,4.0,1,3,14.0,4,5,0.0
1045,1.0,0,37.0,15.0,1,5,14.0,5,4,0.0
1046,1.0,0,32.0,7.0,1,4,17.0,5,5,0.0
1054,1.0,0,42.0,15.0,1,4,18.0,6,5,0.0
1059,1.0,1,27.0,4.0,0,4,18.0,6,4,0.0
1063,1.0,1,22.0,0.75,0,4,18.0,6,5,0.0
1068,1.0,1,27.0,4.0,1,4,14.0,5,3,0.0
1070,1.0,0,22.0,0.75,0,5,18.0,1,5,0.0
1072,1.0,0,52.0,15.0,1,5,9.0,5,5,0.0
1073,1.0,1,32.0,10.0,1,3,14.0,5,5,0.0
1077,1.0,0,37.0,15.0,1,4,16.0,4,4,0.0
1081,1.0,1,32.0,7.0,1,2,20.0,5,4,0.0
1083,1.0,0,42.0,15.0,1,3,18.0,1,4,0.0
1084,1.0,1,32.0,15.0,1,1,16.0,5,5,0.0
1086,1.0,1,27.0,4.0,1,3,18.0,5,5,0.0
1087,1.0,0,32.0,15.0,1,4,12.0,3,4,0.0
1089,1.0,1,22.0,0.75,1,3,14.0,2,4,0.0
1096,1.0,0,22.0,1.5,0,3,16.0,5,3,0.0
1102,1.0,0,42.0,15.0,1,4,14.0,3,5,0.0
1103,1.0,0,52.0,15.0,1,3,16.0,5,4,0.0
1107,1.0,1,37.0,15.0,1,5,20.0,6,4,0.0
1109,1.0,0,47.0,15.0,1,4,12.0,2,3,0.0
1115,1.0,1,57.0,15.0,1,2,20.0,6,4,0.0
1119,1.0,1,32.0,7.0,1,4,17.0,5,5,0.0
1124,1.0,0,27.0,7.0,1,4,17.0,1,4,0.0
1126,1.0,1,22.0,1.5,0,1,18.0,6,5,0.0
1128,1.0,0,22.0,4.0,1,3,9.0,1,4,0.0
1129,1.0,0,22.0,1.5,0,2,14.0,1,5,0.0
1130,1.0,1,42.0,15.0,1,2,20.0,6,4,0.0
1133,1.0,1,57.0,15.0,1,4,9.0,2,4,0.0
1140,1.0,0,27.0,7.0,1,2,18.0,1,5,0.0
1143,1.0,0,22.0,4.0,1,3,14.0,1,5,0.0
1146,1.0,1,37.0,15.0,1,4,14.0,5,3,0.0
1153,1.0,1,32.0,7.0,1,1,18.0,6,4,0.0
1156,1.0,0,22.0,1.5,0,2,14.0,5,5,0.0
1157,1.0,0,22.0,1.5,1,3,12.0,1,3,0.0
1158,1.0,1,52.0,15.0,1,2,14.0,5,5,0.0
1160,1.0,0,37.0,15.0,1,2,14.0,1,1,0.0
1161,1.0,0,32.0,10.0,1,2,14.0,5,5,0.0
1166,1.0,1,42.0,15.0,1,4,20.0,4,5,0.0
1177,1.0,0,27.0,4.0,1,3,18.0,4,5,0.0
1178,1.0,1,37.0,15.0,1,4,20.0,6,5,0.0
1180,1.0,1,27.0,1.5,0,3,18.0,5,5,0.0
1187,1.0,0,22.0,0.125,0,2,16.0,6,3,0.0
1191,1.0,1,32.0,10.0,1,2,20.0,6,3,0.0
1195,1.0,0,27.0,4.0,0,4,18.0,5,4,0.0
1207,1.0,0,27.0,7.0,1,2,12.0,5,1,0.0
1208,1.0,1,32.0,4.0,1,5,18.0,6,3,0.0
1209,1.0,0,37.0,15.0,1,2,17.0,5,5,0.0
1211,1.0,1,47.0,15.0,0,4,20.0,6,4,0.0
1215,1.0,1,27.0,1.5,0,1,18.0,5,5,0.0
1221,1.0,1,37.0,15.0,1,4,20.0,6,4,0.0
1226,1.0,0,32.0,15.0,1,4,18.0,1,4,0.0
1229,1.0,0,32.0,7.0,1,4,17.0,5,4,0.0
1231,1.0,0,42.0,15.0,1,3,14.0,1,3,0.0
1234,1.0,0,27.0,7.0,1,3,16.0,1,4,0.0
1235,1.0,1,27.0,1.5,0,3,16.0,4,2,0.0
1242,1.0,1,22.0,1.5,0,3,16.0,3,5,0.0
1245,1.0,1,27.0,4.0,1,3,16.0,4,2,0.0
1260,1.0,0,27.0,7.0,1,3,12.0,1,2,0.0
1266,1.0,0,37.0,15.0,1,2,18.0,5,4,0.0
1271,1.0,0,37.0,7.0,1,3,14.0,4,4,0.0
1273,1.0,1,22.0,1.5,0,2,16.0,5,5,0.0
1276,1.0,1,37.0,15.0,1,5,20.0,5,4,0.0
1280,1.0,0,22.0,1.5,0,4,16.0,5,3,0.0
1282,1.0,0,32.0,10.0,1,4,16.0,1,5,0.0
1285,1.0,1,27.0,4.0,0,2,17.0,5,3,0.0
1295,1.0,0,22.0,0.417,0,4,14.0,5,5,0.0
1298,1.0,0,27.0,4.0,0,2,18.0,5,5,0.0
1299,1.0,1,37.0,15.0,1,4,18.0,5,3,0.0
1304,1.0,1,37.0,10.0,1,5,20.0,7,4,0.0
1305,1.0,0,27.0,7.0,1,2,14.0,4,2,0.0
1311,1.0,1,32.0,4.0,1,2,16.0,5,5,0.0
1314,1.0,1,32.0,4.0,1,2,16.0,6,4,0.0
1319,1.0,1,22.0,1.5,0,3,18.0,4,5,0.0
1322,1.0,0,22.0,4.0,1,4,14.0,3,4,0.0
1324,1.0,0,17.5,0.75,0,2,18.0,5,4,0.0
1327,1.0,1,32.0,10.0,1,4,20.0,4,5,0.0
1328,1.0,0,32.0,0.75,0,5,14.0,3,3,0.0
1330,1.0,1,37.0,15.0,1,4,17.0,5,3,0.0
1332,1.0,1,32.0,4.0,0,3,14.0,4,5,0.0
1333,1.0,0,27.0,1.5,0,2,17.0,3,2,0.0
1336,1.0,0,22.0,7.0,1,4,14.0,1,5,0.0
1341,1.0,1,47.0,15.0,1,5,14.0,6,5,0.0
1344,1.0,1,27.0,4.0,1,1,16.0,4,4,0.0
1352,1.0,0,37.0,15.0,1,5,14.0,1,3,0.0
1358,1.0,1,42.0,4.0,1,4,18.0,5,5,0.0
1359,1.0,0,32.0,4.0,1,2,14.0,1,5,0.0
1361,1.0,1,52.0,15.0,1,2,14.0,7,4,0.0
1364,1.0,0,22.0,1.5,0,2,16.0,1,4,0.0
1368,1.0,1,52.0,15.0,1,4,12.0,2,4,0.0
1384,1.0,0,22.0,0.417,0,3,17.0,1,5,0.0
1390,1.0,0,22.0,1.5,0,2,16.0,5,5,0.0
1393,1.0,1,27.0,4.0,1,4,20.0,6,4,0.0
1394,1.0,0,32.0,15.0,1,4,14.0,1,5,0.0
1402,1.0,0,27.0,1.5,0,2,16.0,3,5,0.0
1407,1.0,1,32.0,4.0,0,1,20.0,6,5,0.0
1408,1.0,1,37.0,15.0,1,3,20.0,6,4,0.0
1412,1.0,0,32.0,10.0,0,2,16.0,6,5,0.0
1413,1.0,0,32.0,10.0,1,5,14.0,5,5,0.0
1416,1.0,1,37.0,1.5,1,4,18.0,5,3,0.0
1417,1.0,1,32.0,1.5,0,2,18.0,4,4,0.0
1418,1.0,0,32.0,10.0,1,4,14.0,1,4,0.0
1419,1.0,0,47.0,15.0,1,4,18.0,5,4,0.0
1420,1.0,0,27.0,10.0,1,5,12.0,1,5,0.0
1423,1.0,1,27.0,4.0,1,3,16.0,4,5,0.0
1424,1.0,0,37.0,15.0,1,4,12.0,4,2,0.0
1432,1.0,0,27.0,0.75,0,4,16.0,5,5,0.0
1433,1.0,0,37.0,15.0,1,4,16.0,1,5,0.0
1437,1.0,0,32.0,15.0,1,3,16.0,1,5,0.0
1438,1.0,0,27.0,10.0,1,2,16.0,1,5,0.0
1439,1.0,1,27.0,7.0,0,2,20.0,6,5,0.0
1446,1.0,0,37.0,15.0,1,2,14.0,1,3,0.0
1450,1.0,1,27.0,1.5,1,2,17.0,4,4,0.0
1451,1.0,0,22.0,0.75,1,2,14.0,1,5,0.0
1452,1.0,1,22.0,4.0,1,4,14.0,2,4,0.0
1453,1.0,1,42.0,0.125,0,4,17.0,6,4,0.0
1456,1.0,1,27.0,1.5,1,4,18.0,6,5,0.0
1464,1.0,1,27.0,7.0,1,3,16.0,6,3,0.0
1469,1.0,0,52.0,15.0,1,4,14.0,1,3,0.0
1473,1.0,1,27.0,1.5,0,5,20.0,5,2,0.0
1481,1.0,0,27.0,1.5,0,2,16.0,5,5,0.0
1482,1.0,0,27.0,1.5,0,3,17.0,5,5,0.0
1496,1.0,1,22.0,0.125,0,5,16.0,4,4,0.0
1497,1.0,0,27.0,4.0,1,4,16.0,1,5,0.0
1504,1.0,0,27.0,4.0,1,4,12.0,1,5,0.0
1513,1.0,0,47.0,15.0,1,2,14.0,5,5,0.0
1515,1.0,0,32.0,15.0,1,3,14.0,5,3,0.0
1534,1.0,1,42.0,7.0,1,2,16.0,5,5,0.0
1535,1.0,1,22.0,0.75,0,4,16.0,6,4,0.0
1536,1.0,1,27.0,0.125,0,3,20.0,6,5,0.0
1540,1.0,1,32.0,10.0,1,3,20.0,6,5,0.0
1551,1.0,0,22.0,0.417,0,5,14.0,4,5,0.0
1555,1.0,0,47.0,15.0,1,5,14.0,1,4,0.0
1557,1.0,0,32.0,10.0,1,3,14.0,1,5,0.0
1566,1.0,1,57.0,15.0,1,4,17.0,5,5,0.0
1567,1.0,1,27.0,4.0,1,3,20.0,6,5,0.0
1576,1.0,0,32.0,7.0,1,4,17.0,1,5,0.0
1584,1.0,0,37.0,10.0,1,4,16.0,1,5,0.0
1585,1.0,0,32.0,10.0,1,1,18.0,1,4,0.0
1590,1.0,0,22.0,4.0,0,3,14.0,1,4,0.0
1594,1.0,0,27.0,7.0,1,4,14.0,3,2,0.0
1595,1.0,1,57.0,15.0,1,5,18.0,5,2,0.0
1603,1.0,1,32.0,7.0,1,2,18.0,5,5,0.0
1608,1.0,0,27.0,1.5,0,4,17.0,1,3,0.0
1609,1.0,1,22.0,1.5,0,4,14.0,5,5,0.0
1615,1.0,0,22.0,1.5,1,4,14.0,5,4,0.0
1616,1.0,0,32.0,7.0,1,3,16.0,1,5,0.0
1617,1.0,0,47.0,15.0,1,3,16.0,5,4,0.0
1620,1.0,0,22.0,0.75,0,3,16.0,1,5,0.0
1621,1.0,0,22.0,1.5,1,2,14.0,5,5,0.0
1637,1.0,0,27.0,4.0,1,1,16.0,5,5,0.0
1638,1.0,1,52.0,15.0,1,4,16.0,5,5,0.0
1650,1.0,1,32.0,10.0,1,4,20.0,6,5,0.0
1654,1.0,1,47.0,15.0,1,4,16.0,6,4,0.0
1665,1.0,0,27.0,7.0,1,2,14.0,1,2,0.0
1670,1.0,0,22.0,1.5,0,4,14.0,4,5,0.0
1671,1.0,0,32.0,10.0,1,2,16.0,5,4,0.0
1675,1.0,0,22.0,0.75,0,2,16.0,5,4,0.0
1688,1.0,0,22.0,1.5,0,2,16.0,5,5,0.0
1691,1.0,0,42.0,15.0,1,3,18.0,6,4,0.0
1695,1.0,0,27.0,7.0,1,5,14.0,4,5,0.0
1698,1.0,1,42.0,15.0,1,4,16.0,4,4,0.0
1704,1.0,0,57.0,15.0,1,3,18.0,5,2,0.0
1705,1.0,1,42.0,15.0,1,3,18.0,6,2,0.0
1711,1.0,0,32.0,7.0,1,2,14.0,1,2,0.0
1719,1.0,1,22.0,4.0,0,5,12.0,4,5,0.0
1723,1.0,0,22.0,1.5,0,1,16.0,6,5,0.0
1726,1.0,0,22.0,0.75,0,1,14.0,4,5,0.0
1749,1.0,0,32.0,15.0,1,4,12.0,1,5,0.0
1752,1.0,1,22.0,1.5,0,2,18.0,5,3,0.0
1754,1.0,1,27.0,4.0,1,5,17.0,2,5,0.0
1758,1.0,0,27.0,4.0,1,4,12.0,1,5,0.0
1761,1.0,1,42.0,15.0,1,5,18.0,5,4,0.0
1773,1.0,1,32.0,1.5,0,2,20.0,7,3,0.0
1775,1.0,1,57.0,15.0,0,4,9.0,3,1,0.0
1786,1.0,1,37.0,7.0,0,4,18.0,5,5,0.0
1793,1.0,1,52.0,15.0,1,2,17.0,5,4,0.0
1799,1.0,1,47.0,15.0,1,4,17.0,6,5,0.0
1803,1.0,0,27.0,7.0,0,2,17.0,5,4,0.0
1806,1.0,0,27.0,7.0,1,4,14.0,5,5,0.0
1807,1.0,0,22.0,4.0,0,2,14.0,3,3,0.0
1808,1.0,1,37.0,7.0,1,2,20.0,6,5,0.0
1814,1.0,1,27.0,7.0,0,4,12.0,4,3,0.0
1815,1.0,1,42.0,10.0,1,4,18.0,6,4,0.0
1818,1.0,0,22.0,1.5,0,3,14.0,1,5,0.0
1827,1.0,0,22.0,4.0,1,2,14.0,1,3,0.0
1834,1.0,0,57.0,15.0,0,4,20.0,6,5,0.0
1835,1.0,1,37.0,15.0,1,4,14.0,4,3,0.0
1843,1.0,0,27.0,7.0,1,3,18.0,5,5,0.0
1846,1.0,0,17.5,10.0,0,4,14.0,4,5,0.0
1850,1.0,1,22.0,4.0,1,4,16.0,5,5,0.0
1851,1.0,0,27.0,4.0,1,2,16.0,1,4,0.0
1854,1.0,0,37.0,15.0,1,2,14.0,5,1,0.0
1859,1.0,0,22.0,1.5,0,5,14.0,1,4,0.0
1861,1.0,1,27.0,7.0,1,2,20.0,5,4,0.0
1866,1.0,1,27.0,4.0,1,4,14.0,5,5,0.0
1873,1.0,1,22.0,0.125,0,1,16.0,3,5,0.0
1875,1.0,0,27.0,7.0,1,4,14.0,1,4,0.0
