'popul'	'TVnews'	'selfLR'	'ClinLR'	'DoleLR'	'PID'	'age'	'educ'	'income'	'vote'
11	1	4	3	6	1	45	3	20	0
51	5	3	3	6	0	72	6	20	0
160	7	2	3	5	1	44	7	20	0
16	7	1	3	6	0	61	7	21	0
110	6	6	2	6	6	34	7	21	1
110	4	5	2	5	5	61	6	21	1
13	6	3	3	7	1	67	4	21	0
220	7	4	1	4	6	38	6	21	1
470	7	4	2	6	1	50	6	21	0
22	6	6	1	6	6	62	4	21	1
9	2	6	3	6	5	36	6	21	1
22	3	6	3	5	4	50	6	21	1
190	2	4	2	7	1	30	6	21	0
100	5	6	2	6	6	59	5	21	1
14	7	3	3	6	0	62	6	21	0
0	7	4	3	6	3	40	4	21	0
180	1	6	1	6	6	30	4	21	1
3	6	3	2	6	2	47	3	21	0
51	2	5	2	6	1	41	6	21	0
9	2	6	1	6	6	35	7	21	1
0	7	5	2	6	6	45	4	21	1
0	2	4	2	6	4	34	6	21	1
