;;;   
;;;   The lexicon was taken from Brill's rule based tagger v1.14,
;;;   trained on Brown corpus and Penn Treebank.
;;;   
;;;   Eric Brill (1992). A simple rule-based part of speech tagger.
;;;   In Proceedings of the workshop on Speech and Natural Language (pp. 112-116).
;;;   Association for Computational Linguistics.
;;;   
;;;   Copyright 1993 by the Massachusetts Institute of Technology and the
;;;   University of Pennsylvania. All rights reserved. MIT license.
;;;   
;;;   Additional words were added from the Twitter Part-of-Speech Annotated Data,
;;;   available under the Creative Commons Attribution 3.0 Unported license ("CC-BY").
;;;   Carnegie Mellon University. http://www.ark.cs.cmu.edu/TweetNLP
;;;   
;;;   Kevin Gimpel, Nathan Schneider, Brendan O'Connor, et al. (2011).
;;;   Part-of-Speech Tagging for Twitter: Annotation, Features, and Experiments.
;;;   In Proceedings of the Annual Meeting of the ACL, Portland, OR, June 2011.
;;;   
! .
!! .
!!! .
!!!! .
!!!!! .
!!!!!! .
!!!!!!! .
!!!!!!!! .
!. .
!? .
" "
# #
#1 CD
#2 CD
#GLEE NNP
#Glee NNP
#celtics NNPS
#fail NN
#fb NNP
#glee NNP
#howcome VB
#lakers NNPS
#shoutout NN
#teamceltics NNPS
#teamlakers NNPS
#win NN
-Samuel NNP
-Yr. NN
-_- SYM
-__- SYM
-aminometha NN
-axis NN
-c NN
-ing JJ
-ism NN
. .
.'crack NN
.. .
... :
.... :
..... :
...... :
........ :
.01 CD
.02 CD
.025 CD
.027 CD
.03 CD
.05 CD
.054 CD
.07 CD
.076 CD
.09 CD
.10-a-minute JJ
.10.07 CD
.105 CD
.12 CD
.125 CD
.16 CD
.23 CD
.270 CD
.292 CD
.30 CD
.337 CD
.357 CD
.375 CD
.38 CD
.4 CD
.40 CD
.45 CD
.5 CD
.50 CD
.50-caliber JJ
.500 CD
.6 CD
.65 CD
.75 CD
.8 CD
.80 CD
.86 CD
.9.76 CD
.9.82 CD
.9.92 CD
.90 CD
.: :
.Not RB
.fundamentally RB
.to TO
.what WDT
/ CC
0 CD
0-1 CD
09 CD
1 CD
1,000 CD
1-0 CD
1/2 CD
10 CD
10.27 CD
106 CD
11 CD
12 CD
15 CD
17 CD
17th CD
1st JJ
2 IN
20 CD
2008 CD
2010 CD
2011 CD
21st JJ
26 CD
27 CD
27th CD
29 CD
2day NN
2nd CD
3 CD
30 CD
31 CD
4 IN
40 CD
48 CD
4th CD
5 CD
6 CD
7 CD
7:30 CD
8 CD
8:30 CD
9 CD
: :
:( SYM
:) SYM
:)) SYM
:-P SYM
:/ SYM
:35.3 CD
:: :
:D SYM
:P SYM
; :
;) SYM
;-) SYM
< SYM
<3 SYM
<333 SYM
= SYM
=) SYM
======================================ll NN
=D SYM
=] SYM
> SYM
? .
?! .
?!? .
?? .
??!! .
??? .
???? .
@ IN
@BarackObama NNP
@DailySexTips NNP
@NICKIMINAJ NNP
@NickiMinaj NNP
@justinbieber NNP
@kylieminogue NNP
@youtube NNP
A DT
A$ $
A&E NNP
A&M NNP
A&P NNP
A&W NNP
A*/NNP&S NN
A,B,C,D NNP
A-1 JJ
A-1-plus JJ
A-12 NNP
A-2 NN
A-26 CD
A-300-600 NNP
A-310-300 NN
A-320 NN
A-320-200 NN
A-320s NNP
A-321 NN
A-330 NNP
A-330s NNS
A-340s NNS
A-6 NN
A-B NNP
A-D NNP
A-Team NNP
A-Z NNP
A-body JJ
A-bombs NNS
A-men NNS
A-plus JJ
A. NNP
A.-controlled JJ
A.A. NNP
A.A.U. NNP
A.B. NNP
A.C. NNP
A.D NN
A.D. NNP
A.D.L. NNP
A.E. NNP
A.F. NNP
A.G. NNP
A.H. NNP
A.I.D. NN
A.I.R. NNP
A.J. NNP
A.J.C. NNP
A.K.C. NNP
A.L. NNP
A.L.A.M. NNP
A.L/NNP.S/NNP.A.C. NNP
A.M RB
A.M. NNP
A.M.A NNP
A.M.A. NNP
A.M.E. NNP
A.N. NNP
A.O. NNP
A.P. NNP
A.R. NNP
A.R.A. NNP
A.S. NNP
A.T.B. NNP
A.V. NNP
A.W. NNP
A12 NN
A135 NN
A3 CD
A300-600R NNP
A310-300s NNP
A320 NN
A321 CD
A321s NNS
A330 NN
A330-300s NNS
A340 NN
A40-AjK NN
A5 NN
AA JJ
AAA NNP
AARP NNP
AAb NNP
AB NNP
ABA NNP
ABB NNP
ABBIE NNP
ABC NNP
ABC-TV NNP
ABCs NNS
ABG-Semca NNP
ABIOMED NNP
ABM NN
ABM. NNP
ABO NNP
ABORTION NN
ABS NNP
ABUSE NN
AC&R NNP
AC&R\/CCL NNP
AC-130U NN
ACCEPTANCES NNS
ACCO NNP
ACCOUNT NN
ACCOUNTANTS NNS
ACCOUNTING NN
ACCOUNTS NNS
ACLU NNP
ACQUISITION NN
ACQUISITIONS NNS
ACRES NNP
ACS NNP
ACT NNP
ACTH NNP
ACTING JJ
AD NN
ADB NNP
ADC NNP
ADDED VBD
ADIA NNP
ADMAN NN
ADMINISTRATION'S NN
ADMITTED VBD
ADN NNP
ADOPTED VBD
ADR NNP
ADRs NNS
ADS NNPS
ADT NNP
ADV NNP
ADVANCED NNP
ADVANCEMENT NNP
ADVANCES NNS
ADVERTISERS NNS
ADVERTISING NNP
AD\ NNP
AEC NNP
AEG NNP
AEI NNP
AEP NNP
AES NNP
AEW NNP
AF NNP
AFDC NNP
AFFLUENT JJ
AFL-CIO NNP
AFP NNP
AFRICA NNP
AFRICA'S NNP
AFRICAN-AMERICAN JJ
AFTERMATH NNP
AFTERSHOCKS NNS
AG NNP
AGA NNP
AGAIN RB
AGE NNP
AGENCIES NNS
AGENCY NNP
AGF NNP
AGI NNP
AGIP NNP
AGREED VBD
AGREES VBZ
AGS NNP
AH-64 NN
AH6 CD
AHEAD RB
AHHHHH UH
AHSC NNP
AIA NNP
AIB NNP
AIB.PR NNP
AIChE NNP
AID NNP
AIDS NNP
AIDS-drug JJ
AIDS-infected JJ
AIDS-inspired JJ
AIDS-like JJ
AIDS-prevention JJ
AIDS-related JJ
AIDS-research JJ
AIDS-treatment NN
AIEE NNP
AIG NNP
AIM NNP
AIMO NNP
AIR NNP
AIR'S NNP
AIRCOA NNP
AIRLINES NNPS
AIW NNP
AK-47 NNP
AL NNP
ALAMCO NNP
ALBERTA NNP
ALCEE NNP
ALCOHOL NNP
ALERT NN
ALII NNP
ALL PDT
ALLIANCE NNP
ALLOWED VBD
ALLWASTE NNP
ALLY NN
ALPA NNP
ALQ-135 NN
ALQ-178 NNP
ALT NNP
ALU NNP
ALUMINUM NNP
AM NNP
AMA NNP
AMBASSADOR NN
AMC NNP
AMCA NNP
AMDAHL NNP
AMERICA'S NNP
AMERICAN NNP
AMERICANS NNS
AMES NNP
AMEX NNP
AMF NNP
AMI NNP
AMNESTY NN
AMONG IN
AMP NNP
AMR NNP
AMR-Delta NNP
AMRO NNP
AMT NNP
AMUSEMENT JJ
AMVISC NNP
AMs NNS
AN DT
ANACOMP NNP
ANB NNP
ANC NNP
ANCHORAGE NNP
AND CC
ANDERSEN NNP
ANF NNP
ANF-Industrie NNP
ANGELES NNP
ANIMAL-RIGHTS NNS
ANN NNP
ANNOUNCED VBD
ANNUAL JJ
ANNUITIES NNS
ANNUITY NNP
ANP NNP
ANR NNP
ANSA NNP
ANTHEM NNP
ANZ NNP
AON NNP
AP NNP
AP-Dow NNP
AP600 NN
APARTHEID NNP
API NNP
APM NNP
APMS NNP
APPB NNP
APPEARS VBZ
APPELLATE NN
APPLE NNP
APPLIANCES NNPS
APPLIED NNP
APPROVED VBD
APPROVES VBZ
APS NNP
APT NNP
APV NNP
ARA NNP
ARAL-88 NNP
ARBITRAGE NN
ARCO NNP
ARE VBP
AREA NN
ARF NNP
ARISE VBP
ARM NNP
ARMs NNS
ARNOLD NNP
ARRESTED VBD
ARRIVED VBD
ARTICLE NN
ARTY NNP
ART\/artifact NN
AS NNP
ASA NNP
ASARCO NNP
ASC NNP
ASCAP NNP
ASDA NNP
ASDIC NNP
ASEA NNP
ASEAN NNP
ASHTON-TATE NNP
ASK NNP
ASKO NNP
ASKS VBZ
ASLACTON NNP
ASME NNP
ASP NNP
ASPIS FW
ASPR NNP
ASSETS NNP
ASSOCIATES NNP
ASSOCIATION NNP
ASSOCIATION-COLLEGE NNP
AST NNP
ASW NN
AS\ NNP
AT IN
AT&T NNP
AT&T-sponsored JJ
AT* NNP
AT*/NNP&T NN
ATARI NNP
ATHLONE NNP
ATI NNP
ATLANTIC NNP
ATM NN
ATMs NNS
ATP NN
ATS\ NNP
ATTACK NN
ATTORNEY NNP
ATTRACTS VBZ
AUDITS NNS
AUS NNP
AUSTIN NNP
AUTO NNP
AUTOMOBILES NNPS
AVC NNP
AVOIDED VBD
AVON NNP
AVX NNP
AWA NNP
AWAY RP
AWE NNP
AWOC NNP
AYER NNP
AZT NNP
AZT-resistant JJ
AZT-treated JJ
AZTR NNP
A[fj] SYM
A\ JJ
A\/S NNP
Aaa JJ
Aaa-ee UH
Aaawww UH
Aah UH
Aalseth NNP
Aaron NNP
Aaronson NNP
Aarvik NNP
Ab1,040 NNP
Ab4,500 CD
Ab63711-r CD
Ababa NNP
Abalkin NNP
Abandon VB
Abandoning VBG
Abatuno NNP
Abba NNP
Abbas NNP
Abbe NNP
Abbe-Direct NNP
Abbe-Scotch NNP
Abbenhaus NNP
Abbett NNP
Abbey NNP
Abbie NNP
Abbot NNP
Abbott NNP
Abboud NNP
Abby NNP
Abd-al-Aziz NNP
Abdallah NNP
Abderahmane NNP
Abdul NNP
Abdul-Raheem NNP
Abdullah NNP
Abe NNP
Abel NNP
Abell NNP
Abello NNP
Abelson NNP
Abend NNP
Aber FW
Abercrombie NNP
Aberdeen NNP
Abernathy NNP
Abernathys NNPS
Abex NNP
Abide NNP
Abie NNP
Abigail NNP
Abilene NNP
Abingdon NNP
Abiomed NNP
Abitibi-Price NNP
Ablard NNP
Able NNP
Abner NNP
Abney NNP
Abnormal JJ
Aboff NNP
Abolition NNP
Abolitionists NNS
Aborted JJ
Abortion NNP
Abortion-rights NNS
About IN
Above IN
Aboveground JJ
Abra NNP
Abraham NNP
Abrahams NNP
Abrahamson NNP
Abramowitz NNP
Abrams NNP
Abramson NNP
Abreaction NN
Abreast NNP
Abroad RB
Abrupt JJ
Abruptly RB
Abscam-indicted JJ
Absent VB
Absent-minded JJ
Absenteeism NN
Absolute JJ
Absolutely RB
Absolution NN
Absorbed VBN
Absorbing VBG
Abstract NNP
Abstraction NNP
Abstractionists NNS
Abstractions NNS
Abstracts NNP
Abt NNP
Abu NNP
Abuse NNP
Abyss NN
Abyssinians NNPS
Aca NNP
Academic NNP
Academically RB
Academicianship NN
Academics NNS
Academy NNP
Acadia NNP
Acala NNP
Acapulco NNP
Acarbose NNP
Accacia NNP
Accademia NNP
Accardo NNP
Accelerated VBN
Accept VB
Acceptable JJ
Acceptance NNP
Accepted JJ
Accepting VBG
Access NN
Accessories NNS
Accident NNP
Accidental JJ
Acclaim NNP
Accompanied VBN
Accomplishing VBG
Accomplishments NNS
Accor NNP
Accord NNP
Accord-fighter JJ
According VBG
Accordingly RB
Accords NNPS
Account NNP
Accountants NNPS
Accountemps NNP
Accounting NNP
Accounting-profession NN
Accounts NNS
Accounts-a NNP
Accrued VBN
Accudyne NNP
Accumaster NNP
Accumulation NNP
Accuracy NN
Accurate JJ
Accused NNP
Accustomed JJ
Accutane NNP
Ace NNP
Aces NNS
Acey NNP
Achaeans NNPS
Achenbaum NNP
Acheson NNP
Achievement NNP
Achieving VBG
Achilles NNP
Acid JJ
Acid-washed JJ
Ackerley NNP
Ackerly NNP
Ackerman NNP
Ackermann NNP
Acknowledges VBZ
Ackroyd NNP
Acme-Cleveland NNP
Acorn NNP
Acorns NNS
Acourse NN
Acoustic NNP
Acoustical JJ
Acquired VBN
Acquirer NN
Acquirers NNS
Acquiring VBG
Acquisition NNP
Acquisitions NNS
Acreage NN
Acres NNP
Acropolis NNP
Across IN
Acrylic NNP
Act NNP
Acting NNP
Acting-President NNP
Action NNP
Actions NNS
Active JJ
Actively RB
Activists NNS
Activities NNP
Activity NN
Acton NNP
Actor-Crooner NNP
Actress NNP
Acts NNPS
Actual JJ
Actually RB
Acura NNP
Acushnet NNP
Acustar NNP
Acuvue NNP
Ad NN
Ad-Unit NN
Ada NNP
Adagio NNP
Adair NNP
Adalbert NNP
Adam NNP
Adame NNP
Adamec NNP
Adamo NNP
Adams NNP
Adamski NNP
Adamson NNP
Adaptaplex NNP
Adaptation NN
Adaptations NNS
Adaptec NNP
Adapted VBN
Adcock NNP
Add VB
Addabbo NNP
Adde NNP
Added VBD
Addict NNP
Addicted NNP
Addicts NNS
Adding VBG
Addington NNP
Addis NNP
Addison NNP
Addiss NNP
Addition NN
Additional JJ
Additionally RB
Additive NN
Additives NNPS
Address NNP
Addressing VBG
Adds VBZ
Addwest NNP
Ade NNP
Adelaide NNP
Adele NNP
Adelia NNP
Adella NNP
Adelman NNP
Adelos NNP
Aden NNP
Adenauer NNP
Adens NNP
Adequate JJ
Aderholds NNPS
Adherence NN
Adi NNP
Adia NNP
Adios NNP
Adios-Direct NNP
Adios-On NNP
Adios-Rena NNP
Adios-Trustful NNP
Adirondack NNP
Adirondacks NNPS
Adjoining VBG
Adjournment NN
Adjust VB
Adjusted NNP
Adjusters NNS
Adjusting VBG
Adjustment NNP
Adlai NNP
Adler NNP
Adley NNP
Adm. NNP
Admarketing NNP
Admassy NNP
Administration NNP
Administration-insured JJ
Administrative NNP
Administrator NNP
Administrators NNPS
Admirably RB
Admiralty NN
Admirers NNS
Admission NN
Admissions NNP
Admistration NNP
Admittedly RB
Admitting VBG
Adnan NNP
Ado NNP
Adobe NNP
Adolescents NNS
Adolf NNP
Adolph NNP
Adolphus NNP
Adoniram NNP
Adonis NNP
Adopting VBG
Adoption NN
Adoptions NNS
Adrar NNP
Adrian NNP
Adrianople NN
Adriatic NNP
Adrien NNP
Adrienne NNP
Ads NNS
Adsi NNP
Adult NN
Adultery NNP
Adults NNS
Advance NNP
Advanced NNP
Advancement NNP
Advancers NNS
Advances NNS
Advancing VBG
Advani NNP
Advantages NNS
Advent NNP
Adventists NNP
Adventure NNP
Adventurers NNS
Adventures NNS
Adverbial JJ
Adverse JJ
Advertiser NNP
Advertisers NNS
Advertising NNP
Advertising\/San NNP
Advest NNP
Advice NNP
Advil NNP
Advise NNP
Adviser NNP
Advisers NNPS
Advises VBZ
Advisor NNP
Advisors NNPS
Advisory NNP
Advocate NNP
Advocates NNS
Aegean NNP
Aegis NNP
Aegis-class JJ
Aegon NNP
Aeneid NNP
Aer NNP
Aeritalia NNP
Aermacchi NNP
Aero NNP
Aero-Space NNP
Aerobacter NN
Aeroflot NNP
Aerojet NNP
Aeromexico NNP
Aeronautical NNP
Aeronauticas NNP
Aeronautics NNP
Aeroquip NNP
Aerospace NNP
Aerospace-Thomson NNP
Aerospatiale NNP
Aeschbacher NNP
Aeschylus NNP
Aetna NNP
Af-fold JJ
Af-inch JJ
Af-stage JJ
Af-values NNS
Af. NNP
Afanasyev NNP
Afanasyeva NNP
Affair NNP
Affaire NNP
Affaires NNP
Affairs NNP
Affect VB
Affected VBN
Affidavits NNS
Affiliated NNP
Affiliates NNP
Affirmative JJ
Affirmatively RB
Affirmed NNP
Affliction NNP
Afford VB
Affordable NNP
Afghan JJ
Afghan-Pakistan JJ
Afghanistan NNP
Afghanistan\/Southwest NNP
Afghans NNPS
Afield NNP
Afif NNP
Aflatoxin NN
Afnasjev NNP
Afraid JJ
Afranio NNP
Africa NNP
Africaine NNP
African JJ
African-Americans NNPS
African-controlled JJ
African-safari JJ
Africanist NNP
Africans NNPS
Afrika NNP
Afrikaaner NNP
Afrikaner JJ
Afrikanerdom NNP
Afrikaners NNPS
Afrique NNP
Afro-Asian NNP
Afro-Cuban JJ
After IN
After-the-fact JJ
Aftereffects NNS
Afternoon UH
Aftershocks NNS
Afterward RB
Afterwards RB
AgResource NNP
Aga NNP
Again RB
Against IN
Agamemnon NNP
Aganbegyan NNP
Agatha NNP
Age NNP
Agee NNP
Agence NNP
Agencies NNS
Agency NNP
Agenda NNP
Agent NNP
Agents NNS
Ageny NNP
Ages NNPS
Agfa NNP
Aggie NNP
Aggies NNP
Aggregate JJ
Aggressive NNP
Aggressively RB
Aggrieved JJ
Aghanistan NNP
Aghazadeh NNP
Agile FW
Agin NNP
Aging NNP
Agins NNP
Agip NNP
Agitato NNP
Agius NNP
Agnelli NNP
Agnelli-related JJ
Agnellis NNPS
Agnes NNP
Agnese NNP
Agnew NNP
Agnos NNP
Ago RB
Agoeng NNP
Agoglia NNP
Agonale NNP
Agone NNP
Agoura NNP
Agouron NNP
Agree VBP
Agreeable NNP
Agreed VBD
Agreement NNP
Agreements NNS
Agrees VBZ
Agri NNP
Agricola NNP
Agricole NNP
Agricoles NNP
Agricultural NNP
Agriculture NNP
Agriculture-ministry NN
Agrippa NNP
Agro NNP
Agrobacterium NN
Agua NNP
Aguais NNP
Aguiar NNP
Aguilar NNP
Aguirre NNP
Aguirre-Sacasa NNP
Agura NNP
Ah UH
Ah-ah UH
Ahah UH
Ahead RB
Ahern NNP
Ahh UH
Ahlerich NNP
Ahm PRP
Ahmad NNP
Ahmanson NNP
Ahmet NNP
Ahmiri NNP
Aho NNP
Ahold NNP
Ahoy NNP
Ahrens NNP
Ahsan NNP
Ai VBP
Ai- NNP
Aichi NNP
Aid NNP
Aida NNP
Aidan NNP
Aide NNP
Aided VBN
Aiden NNP
Aides NNS
Aiding NNP
Aids NNS
Aikawa NNP
Aiken NNP
Aikin NNP
Aikman NNP
Ailes NNP
Ailey NNP
Ailing VBG
Aim VB
Aimed VBN
Aims VBZ
Ainsley NNP
Ainslie NNP
Ainsworth NNP
Ainu NNP
Ainus NNPS
Air NNP
Air-drifts CD
Air-freight NN
Air-raid JJ
Air-to-ground JJ
Air-traffic NN
AirCal NNP
AirMalta NNP
AirTran NNP
Airborne NNP
Airbus NNP
Aircoa NNP
Aircraft NNP
Airedale NNP
Airedales NNPS
Aires NNP
Airfone NNP
Airfones NNS
Airgas NNP
Airless JJ
Airlie NNP
Airline NNP
Airlines NNPS
Airmail NN
Airman NNP
Airpark NNP
Airplanes NNS
Airport NNP
Airports NNP
Airways NNPS
Airy JJ
Ait-Laoussine NNP
Aitken NNP
Aiwa NNP
Aj. NNP
AjA NNP
AjB NNP
Ajax NNP
Ajinomoto NNP
Ajit NNP
Akademie NNP
Ake NNP
Akerfeldt NNP
Akers NNP
Akerson NNP
Akin NNP
Akio NNP
Akita NNP
Akiva NNP
Akron NNP
Akros NNP
Aktiebolaget NNP
Aktiengesellschaft NNP
Akzo NNP
Al NNP
Al-Chalabi NNP
Al-Faqih NNP
Al-Rowas NNP
Al-Sabah NNP
Al-Seyassah NNP
Ala NNP
Ala. NNP
Alabama NNP
Alabama-Coushatta JJ
Alabamans NNS
Alabamas NNPS
Alabamian NN
Alacrity NNP
Aladdin NNP
Alagoas NNP
Alai NNP
Alain NNP
Alakshak NNP
Alameda NNP
Alamein NNP
Alamito NNP
Alamo NNP
Alamogordo NNP
Alamos NNP
Alan NNP
Alaouite JJ
Alar NN
Alar-style JJ
Alarcon NNP
Alarm NNP
Alarmed JJ
Alas UH
Alasdair NNP
Alaska NNP
Alaska-based JJ
Alaskan JJ
Alastair NNP
Alastor NNP
Alba NNP
Albacore NNP
Albanese NNP
Albania NNP
Albanian NNP
Albanians NNPS
Albany NNP
Alberding NNP
Alberg NNP
Albers NNP
Albert NNP
Alberta NNP
Albertine NNP
Alberto NNP
Albertson NNP
Albertville NNP
Albion NNP
Albrecht NNP
Albright NNP
Albrights NNPS
Album NN
Albuquerque NNP
Alcan NNP
Alcarria NNP
Alcatel NNP
Alcatraz NNP
Alcee NNP
Alceste NNP
Alcibiades NNP
Alcinous JJ
Alco NNP
Alcoa NNP
Alcohol NN
Alcoholic NNP
Alcoholics NNPS
Alcorn NNP
Alcott NNP
Alda NNP
Alden NNP
Aldermen NNS
Alderson NNP
Aldo NNP
Aldomet NNP
Aldrich NNP
Aldridge NNP
Aldrin NNP
Aldus NNP
Alec NNP
Alejandro NNP
Aleksei NNP
Alemagna NNP
Alert NNP
Alesio NNP
Alessio NNP
Alex NNP
Alexander NNP
Alexandra NNP
Alexandre NNP
Alexandria NNP
Alexandrine JJ
Alexei NNP
Alexeyeva NNP
Alexia NNP
Alexis NNP
Alf NNP
Alfa NNP
Alferon NNP
Alfieri NNP
Alfons NNP
Alfonse NNP
Alfonso NNP
Alfred NNP
Alfredo NNP
Algemene NNP
Alger NNP
Algeria NNP
Algerian JJ
Algiers NNP
Algol NNP
Algom NNP
Algonquin NNP
Ali NNP
Aliah NNP
Aliber NNP
Alice NNP
Alicia NNP
Alida NNP
Alien NNP
Alienated NNP
Alienus NNP
Aligning VBG
Aliksanian NNP
Alisarda NNP
Alisky NNP
Alison NN
Alistair NNP
Alito NNP
Alix NNP
Aljian NNP
Alkylate NNP
All DT
All-American NNP
All-Star NNP
All-Union NNP
All-You-Can-Eat NNP
All-weather JJ
Alla NNP
Allah NNP
Allan NNP
Allay NN
Allday NNP
Allegany NNP
Alleged JJ
Alleghany NNP
Alleghenies NNPS
Allegheny NNP
Allegiance NNP
Allegra NNP
Allegretti NNP
Allegro NNP
Allemands NNP
Allen NNP
Allen-film NN
Allendale NNP
Allende NNP
Allenport NNP
Allentown NNP
Allergan NNP
Alley NNP
Allgemeine NNP
Alliance NNP
Alliant NNP
Allianz NNP
Allie NNP
Allied NNP
Allied-Lyons NNP
Allied-Signal NNP
Allies NNPS
Alligood NNP
Allingham NNP
Allis-Chalmers NNP
Allison NNP
Allocation NN
Allons FW
Allotments NNS
Allou NNP
Allow VB
Allowed VBN
Allowing VBG
Alloy NN
Allso RB
Allstate NNP
Allstates NNP
Allstates-Zenith NNP
Alltel NNP
Allumettes NNP
Allure NN
Allwaste NNP
Ally VBP
Alma NNP
Almaden NNP
Almagest NNP
Almanac NNP
Almighty NNP
Almond NN
Almonds NNS
Almost RB
Aloe NNP
Aloft JJ
Aloha NNP
Alois NNP
Alokut NNP
Alone RB
Along IN
Alongside IN
Alonso NNP
Alors FW
Aloud RB
Aloys NNP
Alper NNP
Alpers NNP
Alperstein NNP
Alpert NNP
Alperts NNS
Alpha NNP
Alphametrics NNP
Alpharetta NNP
Alphonse NNP
Alphonsus NNP
Alpine NNP
Alpo NNP
Alps NNP
Alquist NNP
Already RB
Alsagoray NNP
Alsatian NNP
Alsatians NNPS
Alsing NNP
Also RB
Also... :
Alson NNP
Alsop NNP
Alsthom NNP
