species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,year
Adelie,Biscoe,39.0,17.5,186.0,3550.0,2008
Adelie,Biscoe,40.6,18.8,193.0,3800.0,2008
Adelie,Biscoe,36.5,16.6,181.0,2850.0,2008
Adelie,Biscoe,37.6,19.1,194.0,3750.0,2008
Adelie,Biscoe,35.7,16.9,185.0,3150.0,2008
Adelie,Biscoe,41.3,21.1,195.0,4400.0,2008
Adelie,Biscoe,37.6,17.0,185.0,3600.0,2008
Adelie,Biscoe,41.1,18.2,192.0,4050.0,2008
Adelie,Biscoe,36.4,17.1,184.0,2850.0,2008
Adelie,Biscoe,41.6,18.0,192.0,3950.0,2008
Adelie,Biscoe,35.5,16.2,195.0,3350.0,2008
Adelie,Biscoe,41.1,19.1,188.0,4100.0,2008
Adelie,Torgersen,35.9,16.6,190.0,3050.0,2008
Adelie,Torgersen,41.8,19.4,198.0,4450.0,2008
Adelie,Torgersen,33.5,19.0,190.0,3600.0,2008
Adelie,Torgersen,39.7,18.4,190.0,3900.0,2008
Adelie,Torgersen,39.6,17.2,196.0,3550.0,2008
Adelie,Torgersen,45.8,18.9,197.0,4150.0,2008
Adelie,Torgersen,35.5,17.5,190.0,3700.0,2008
Adelie,Torgersen,42.8,18.5,195.0,4250.0,2008
Adelie,Torgersen,40.9,16.8,191.0,3700.0,2008
Adelie,Torgersen,37.2,19.4,184.0,3900.0,2008
Adelie,Torgersen,36.2,16.1,187.0,3550.0,2008
Adelie,Torgersen,42.1,19.1,195.0,4000.0,2008
Adelie,Torgersen,34.6,17.2,189.0,3200.0,2008
Adelie,Torgersen,42.9,17.6,196.0,4700.0,2008
Adelie,Torgersen,36.7,18.8,187.0,3800.0,2008
Adelie,Torgersen,35.1,19.4,193.0,4200.0,2008
Adelie,Dream,37.3,17.8,191.0,3350.0,2008
Adelie,Dream,41.3,20.3,194.0,3550.0,2008
Adelie,Dream,36.3,19.5,190.0,3800.0,2008
Adelie,Dream,36.9,18.6,189.0,3500.0,2008
Adelie,Dream,38.3,19.2,189.0,3950.0,2008
Adelie,Dream,38.9,18.8,190.0,3600.0,2008
Adelie,Dream,35.7,18.0,202.0,3550.0,2008
Adelie,Dream,41.1,18.1,205.0,4300.0,2008
Adelie,Dream,34.0,17.1,185.0,3400.0,2008
Adelie,Dream,39.6,18.1,186.0,4450.0,2008
Adelie,Dream,36.2,17.3,187.0,3300.0,2008
Adelie,Dream,40.8,18.9,208.0,4300.0,2008
Adelie,Dream,38.1,18.6,190.0,3700.0,2008
Adelie,Dream,40.3,18.5,196.0,4350.0,2008
Adelie,Dream,33.1,16.1,178.0,2900.0,2008
Adelie,Dream,43.2,18.5,192.0,4100.0,2008
Adelie,Biscoe,35.0,17.9,192.0,3725.0,2009
Adelie,Biscoe,41.0,20.0,203.0,4725.0,2009
Adelie,Biscoe,37.7,16.0,183.0,3075.0,2009
Adelie,Biscoe,37.8,20.0,190.0,4250.0,2009
Adelie,Biscoe,37.9,18.6,193.0,2925.0,2009
Adelie,Biscoe,39.7,18.9,184.0,3550.0,2009
Adelie,Biscoe,38.6,17.2,199.0,3750.0,2009
Adelie,Biscoe,38.2,20.0,190.0,3900.0,2009
Adelie,Biscoe,38.1,17.0,181.0,3175.0,2009
Adelie,Biscoe,43.2,19.0,197.0,4775.0,2009
Adelie,Biscoe,38.1,16.5,198.0,3825.0,2009
Adelie,Biscoe,45.6,20.3,191.0,4600.0,2009
Adelie,Biscoe,39.7,17.7,193.0,3200.0,2009
Adelie,Biscoe,42.2,19.5,197.0,4275.0,2009
Adelie,Biscoe,39.6,20.7,191.0,3900.0,2009
Adelie,Biscoe,42.7,18.3,196.0,4075.0,2009
Adelie,Torgersen,38.6,17.0,188.0,2900.0,2009
Adelie,Torgersen,37.3,20.5,199.0,3775.0,2009
Adelie,Torgersen,35.7,17.0,189.0,3350.0,2009
Adelie,Torgersen,41.1,18.6,189.0,3325.0,2009
Adelie,Torgersen,36.2,17.2,187.0,3150.0,2009
Adelie,Torgersen,37.7,19.8,198.0,3500.0,2009
Adelie,Torgersen,40.2,17.0,176.0,3450.0,2009
Adelie,Torgersen,41.4,18.5,202.0,3875.0,2009
Adelie,Torgersen,35.2,15.9,186.0,3050.0,2009
Adelie,Torgersen,40.6,19.0,199.0,4000.0,2009
Adelie,Torgersen,38.8,17.6,191.0,3275.0,2009
Adelie,Torgersen,41.5,18.3,195.0,4300.0,2009
Adelie,Torgersen,39.0,17.1,191.0,3050.0,2009
Adelie,Torgersen,44.1,18.0,210.0,4000.0,2009
Adelie,Torgersen,38.5,17.9,190.0,3325.0,2009
Adelie,Torgersen,43.1,19.2,197.0,3500.0,2009
Adelie,Dream,36.8,18.5,193.0,3500.0,2009
Adelie,Dream,37.5,18.5,199.0,4475.0,2009
Adelie,Dream,38.1,17.6,187.0,3425.0,2009
Adelie,Dream,41.1,17.5,190.0,3900.0,2009
Adelie,Dream,35.6,17.5,191.0,3175.0,2009
Adelie,Dream,40.2,20.1,200.0,3975.0,2009
Adelie,Dream,37.0,16.5,185.0,3400.0,2009
Adelie,Dream,39.7,17.9,193.0,4250.0,2009
Adelie,Dream,40.2,17.1,193.0,3400.0,2009
Adelie,Dream,40.6,17.2,187.0,3475.0,2009
Adelie,Dream,32.1,15.5,188.0,3050.0,2009
Adelie,Dream,40.7,17.0,190.0,3725.0,2009
Adelie,Dream,37.3,16.8,192.0,3000.0,2009
Adelie,Dream,39.0,18.7,185.0,3650.0,2009
Adelie,Dream,39.2,18.6,190.0,4250.0,2009
Adelie,Dream,36.6,18.4,184.0,3475.0,2009
Adelie,Dream,36.0,17.8,195.0,3450.0,2009
Adelie,Dream,37.8,18.1,193.0,3750.0,2009
Adelie,Dream,36.0,17.1,187.0,3700.0,2009
Adelie,Dream,41.5,18.5,201.0,4000.0,2009
Gentoo,Biscoe,46.1,13.2,211.0,4500.0,2007
Gentoo,Biscoe,50.0,16.3,230.0,5700.0,2007
Gentoo,Biscoe,48.7,14.1,210.0,4450.0,2007
Gentoo,Biscoe,50.0,15.2,218.0,5700.0,2007
Gentoo,Biscoe,47.6,14.5,215.0,5400.0,2007
Gentoo,Biscoe,46.5,13.5,210.0,4550.0,2007
Gentoo,Biscoe,45.4,14.6,211.0,4800.0,2007
Gentoo,Biscoe,46.7,15.3,219.0,5200.0,2007
Gentoo,Biscoe,43.3,13.4,209.0,4400.0,2007
Gentoo,Biscoe,46.8,15.4,215.0,5150.0,2007
Gentoo,Biscoe,40.9,13.7,214.0,4650.0,2007
Gentoo,Biscoe,49.0,16.1,216.0,5550.0,2007
Gentoo,Biscoe,45.5,13.7,214.0,4650.0,2007
Gentoo,Biscoe,48.4,14.6,213.0,5850.0,2007
Gentoo,Biscoe,45.8,14.6,210.0,4200.0,2007
Gentoo,Biscoe,49.3,15.7,217.0,5850.0,2007
Gentoo,Biscoe,42.0,13.5,210.0,4150.0,2007
Gentoo,Biscoe,49.2,15.2,221.0,6300.0,2007
Gentoo,Biscoe,46.2,14.5,209.0,4800.0,2007
Gentoo,Biscoe,48.7,15.1,222.0,5350.0,2007
Gentoo,Biscoe,50.2,14.3,218.0,5700.0,2007
Gentoo,Biscoe,45.1,14.5,215.0,5000.0,2007
Gentoo,Biscoe,46.5,14.5,213.0,4400.0,2007
Gentoo,Biscoe,46.3,15.8,215.0,5050.0,2007
Gentoo,Biscoe,42.9,13.1,215.0,5000.0,2007
Gentoo,Biscoe,46.1,15.1,215.0,5100.0,2007
Gentoo,Biscoe,44.5,14.3,216.0,4100.0,2007
Gentoo,Biscoe,47.8,15.0,215.0,5650.0,2007
Gentoo,Biscoe,48.2,14.3,210.0,4600.0,2007
Gentoo,Biscoe,50.0,15.3,220.0,5550.0,2007
Gentoo,Biscoe,47.3,15.3,222.0,5250.0,2007
Gentoo,Biscoe,42.8,14.2,209.0,4700.0,2007
Gentoo,Biscoe,45.1,14.5,207.0,5050.0,2007
Gentoo,Biscoe,59.6,17.0,230.0,6050.0,2007
Gentoo,Biscoe,49.1,14.8,220.0,5150.0,2008
Gentoo,Biscoe,48.4,16.3,220.0,5400.0,2008
Gentoo,Biscoe,42.6,13.7,213.0,4950.0,2008
Gentoo,Biscoe,44.4,17.3,219.0,5250.0,2008
Gentoo,Biscoe,44.0,13.6,208.0,4350.0,2008
Gentoo,Biscoe,48.7,15.7,208.0,5350.0,2008
Gentoo,Biscoe,42.7,13.7,208.0,3950.0,2008
Gentoo,Biscoe,49.6,16.0,225.0,5700.0,2008
Gentoo,Biscoe,45.3,13.7,210.0,4300.0,2008
Gentoo,Biscoe,49.6,15.0,216.0,4750.0,2008
Gentoo,Biscoe,50.5,15.9,222.0,5550.0,2008
Gentoo,Biscoe,43.6,13.9,217.0,4900.0,2008
Gentoo,Biscoe,45.5,13.9,210.0,4200.0,2008
Gentoo,Biscoe,50.5,15.9,225.0,5400.0,2008
Gentoo,Biscoe,44.9,13.3,213.0,5100.0,2008
Gentoo,Biscoe,45.2,15.8,215.0,5300.0,2008
Gentoo,Biscoe,46.6,14.2,210.0,4850.0,2008
Gentoo,Biscoe,48.5,14.1,220.0,5300.0,2008
Gentoo,Biscoe,45.1,14.4,210.0,4400.0,2008
Gentoo,Biscoe,50.1,15.0,225.0,5000.0,2008
Gentoo,Biscoe,46.5,14.4,217.0,4900.0,2008
Gentoo,Biscoe,45.0,15.4,220.0,5050.0,2008
Gentoo,Biscoe,43.8,13.9,208.0,4300.0,2008
Gentoo,Biscoe,45.5,15.0,220.0,5000.0,2008
Gentoo,Biscoe,43.2,14.5,208.0,4450.0,2008
Gentoo,Biscoe,50.4,15.3,224.0,5550.0,2008
Gentoo,Biscoe,45.3,13.8,208.0,4200.0,2008
Gentoo,Biscoe,46.2,14.9,221.0,5300.0,2008
Gentoo,Biscoe,45.7,13.9,214.0,4400.0,2008
Gentoo,Biscoe,54.3,15.7,231.0,5650.0,2008
Gentoo,Biscoe,45.8,14.2,219.0,4700.0,2008
Gentoo,Biscoe,49.8,16.8,230.0,5700.0,2008
Gentoo,Biscoe,46.2,14.4,214.0,4650.0,2008
Gentoo,Biscoe,49.5,16.2,229.0,5800.0,2008
Gentoo,Biscoe,43.5,14.2,220.0,4700.0,2008
Gentoo,Biscoe,50.7,15.0,223.0,5550.0,2008
Gentoo,Biscoe,47.7,15.0,216.0,4750.0,2008
Gentoo,Biscoe,46.4,15.6,221.0,5000.0,2008
Gentoo,Biscoe,48.2,15.6,221.0,5100.0,2008
Gentoo,Biscoe,46.5,14.8,217.0,5200.0,2008
Gentoo,Biscoe,46.4,15.0,216.0,4700.0,2008
Gentoo,Biscoe,48.6,16.0,230.0,5800.0,2008
Gentoo,Biscoe,47.5,14.2,209.0,4600.0,2008
Gentoo,Biscoe,51.1,16.3,220.0,6000.0,2008
Gentoo,Biscoe,45.2,13.8,215.0,4750.0,2008
Gentoo,Biscoe,45.2,16.4,223.0,5950.0,2008
Gentoo,Biscoe,49.1,14.5,212.0,4625.0,2009
Gentoo,Biscoe,52.5,15.6,221.0,5450.0,2009
Gentoo,Biscoe,47.4,14.6,212.0,4725.0,2009
Gentoo,Biscoe,50.0,15.9,224.0,5350.0,2009
Gentoo,Biscoe,44.9,13.8,212.0,4750.0,2009
Gentoo,Biscoe,50.8,17.3,228.0,5600.0,2009
Gentoo,Biscoe,43.4,14.4,218.0,4600.0,2009
Gentoo,Biscoe,51.3,14.2,218.0,5300.0,2009
Gentoo,Biscoe,47.5,14.0,212.0,4875.0,2009
Gentoo,Biscoe,52.1,17.0,230.0,5550.0,2009
Gentoo,Biscoe,47.5,15.0,218.0,4950.0,2009
Gentoo,Biscoe,52.2,17.1,228.0,5400.0,2009
Gentoo,Biscoe,45.5,14.5,212.0,4750.0,2009
Gentoo,Biscoe,49.5,16.1,224.0,5650.0,2009
Gentoo,Biscoe,44.5,14.7,214.0,4850.0,2009
Gentoo,Biscoe,50.8,15.7,226.0,5200.0,2009
Gentoo,Biscoe,49.4,15.8,216.0,4925.0,2009
Gentoo,Biscoe,46.9,14.6,222.0,4875.0,2009
Gentoo,Biscoe,48.4,14.4,203.0,4625.0,2009
Gentoo,Biscoe,51.1,16.5,225.0,5250.0,2009
Gentoo,Biscoe,48.5,15.0,219.0,4850.0,2009
Gentoo,Biscoe,55.9,17.0,228.0,5600.0,2009
Gentoo,Biscoe,47.2,15.5,215.0,4975.0,2009
Gentoo,Biscoe,49.1,15.0,228.0,5500.0,2009
Gentoo,Biscoe,47.3,13.8,216.0,4725.0,2009
Gentoo,Biscoe,46.8,16.1,215.0,5500.0,2009
Gentoo,Biscoe,41.7,14.7,210.0,4700.0,2009
Gentoo,Biscoe,53.4,15.8,219.0,5500.0,2009
Gentoo,Biscoe,43.3,14.0,208.0,4575.0,2009
Gentoo,Biscoe,48.1,15.1,209.0,5500.0,2009
Gentoo,Biscoe,50.5,15.2,216.0,5000.0,2009
Gentoo,Biscoe,49.8,15.9,229.0,5950.0,2009
Gentoo,Biscoe,43.5,15.2,213.0,4650.0,2009
Gentoo,Biscoe,51.5,16.3,230.0,5500.0,2009
Gentoo,Biscoe,46.2,14.1,217.0,4375.0,2009
Gentoo,Biscoe,55.1,16.0,230.0,5850.0,2009
Gentoo,Biscoe,44.5,15.7,217.0,4875.0,2009
Gentoo,Biscoe,48.8,16.2,222.0,6000.0,2009
Gentoo,Biscoe,47.2,13.7,214.0,4925.0,2009
Gentoo,Biscoe,46.8,14.3,215.0,4850.0,2009
Gentoo,Biscoe,50.4,15.7,222.0,5750.0,2009
Gentoo,Biscoe,45.2,14.8,212.0,5200.0,2009
Gentoo,Biscoe,49.9,16.1,213.0,5400.0,2009
