DATE,STS.M.I7.W.TOVT.NS0016.4.000
Jun-1-2004,112.82
Jul-1-2004,102.9
Aug-1-2004,86.84
Sep-1-2004,115.9
Oct-1-2004,112.59
Nov-1-2004,113.71
Dec-1-2004,115.59
Jan-1-2005,101.28
Feb-1-2005,95.53
Mar-1-2005,114.22
Apr-1-2005,100.99
May-1-2005,97.65
Jun-1-2005,114.36
Jul-1-2005,104.38
Aug-1-2005,89.33
Sep-1-2005,122.23
Oct-1-2005,112.84
Nov-1-2005,121.37
Dec-1-2005,120.25
Jan-1-2006,105.1
Feb-1-2006,103.54
Mar-1-2006,123.16
Apr-1-2006,109.07
May-1-2006,109.89
Jun-1-2006,125.52
Jul-1-2006,113.67
Aug-1-2006,97.66
Sep-1-2006,133.79
Oct-1-2006,124.07
Nov-1-2006,130.19
Dec-1-2006,131.12
Jan-1-2007,110.17
Feb-1-2007,109.52
Mar-1-2007,130.82
Apr-1-2007,113.21
May-1-2007,113.85
Jun-1-2007,131.49
Jul-1-2007,119.74
Aug-1-2007,102.29
Sep-1-2007,133.88
Oct-1-2007,127.19
Nov-1-2007,133.39
Dec-1-2007,134.14
Jan-1-2008,115.79
Feb-1-2008,114.07
Mar-1-2008,130.05
Apr-1-2008,118.76
May-1-2008,114.88
Jun-1-2008,129.24
Jul-1-2008,118.54
Aug-1-2008,100.6
Sep-1-2008,132.86
Oct-1-2008,124.22
Nov-1-2008,125.03
Dec-1-2008,120.34
Jan-1-2009,87.05
Feb-1-2009,84.31
Mar-1-2009,99.01
Apr-1-2009,86.54
May-1-2009,84.3
Jun-1-2009,96.67
Jul-1-2009,87.68
Aug-1-2009,74.9
Sep-1-2009,99.16
Oct-1-2009,95.36
Nov-1-2009,101.02
Dec-1-2009,104.6
Jan-1-2010,83.35
Feb-1-2010,85.79
Mar-1-2010,102.24
Apr-1-2010,91.65
May-1-2010,94.78
Jun-1-2010,107.24
Jul-1-2010,99.29
Aug-1-2010,87.43
Sep-1-2010,111.55
Oct-1-2010,108.97
Nov-1-2010,114.45
Dec-1-2010,113.25
Jan-1-2011,94.27
Feb-1-2011,98.19
Mar-1-2011,113.95
Apr-1-2011,99.35
May-1-2011,100.32
Jun-1-2011,111.24
Jul-1-2011,104.05
Aug-1-2011,91.87
Sep-1-2011,113
Oct-1-2011,106.44
Nov-1-2011,111.47
Dec-1-2011,113.53
Jan-1-2012,90.55
Feb-1-2012,93.5
Mar-1-2012,108.49
Apr-1-2012,95.16
May-1-2012,97.78
Jun-1-2012,110.19
Jul-1-2012,100.34
Aug-1-2012,87.88
Sep-1-2012,107.78
Oct-1-2012,102
Nov-1-2012,103.97
Dec-1-2012,106.33
Jan-1-2013,87.09
Feb-1-2013,89.55
Mar-1-2013,106.49
Apr-1-2013,92.02
May-1-2013,92.74
Jun-1-2013,105.7
Jul-1-2013,95.99
Aug-1-2013,84.26
Sep-1-2013,106.43
Oct-1-2013,101.27
Nov-1-2013,103.1
Dec-1-2013,105.67
Jan-1-2014,86.99
Feb-1-2014,91.62
Mar-1-2014,104.65
Apr-1-2014,92.71
May-1-2014,91.51
Jun-1-2014,104.7
Jul-1-2014,98.86
Aug-1-2014,85.92
Sep-1-2014,106.46
Oct-1-2014,101.72
Nov-1-2014,104.51
Dec-1-2014,107.45
Jan-1-2015,89.89
Feb-1-2015,93.82
Mar-1-2015,109.12
Apr-1-2015,97.19
May-1-2015,97.35
Jun-1-2015,109.99
Jul-1-2015,102.13
Aug-1-2015,89.56
Sep-1-2015,111.03
Oct-1-2015,106.06
Nov-1-2015,108.1
Dec-1-2015,111.03
Jan-1-2016,92.73
Feb-1-2016,95.49
Mar-1-2016,110.57
Apr-1-2016,97.05
May-1-2016,97.86
